,Date_Time,Code,Area,Label,Pamb,Tcuv,Tleaf,Tamb,Ttop,PARtop,Impeller speed,RH,E,VPD,GH2O,A,LA,Time of day,Area factor,gs,E_corrected,gs_corrected,A_corrected,WUE_intrinsic,WUE_instantaneous
2022-01-12 15:27:57,1642001277000000000,MP_001,8,csi4,97.43,18.9,17.68,19.85,19.9,199.7,7,29.01,0.2234644,14.44303,15.47213,3.646729,,afternoon,,0.015521139200706413,,,,,
2022-02-13 14:13:28,1644761608000000000,MP_005,8,csi4,97.802,19.38,17.32,19.65,20.7,1200.2,7,65.91,0.0352,5.134906,6.852546,5.672627,,afternoon,,0.006862142560725701,,,,,
2022-03-16 15:19:08,1647443948000000000,MP_005,8,csi4,98.248,11.1,10.36,10.65,12.44,999.9,7,52.34,0.7535886,5.814519,129.6046,9.459094,19.28,afternoon,2.41,0.13312576563359926,1.8161485260000003,0.3208330951769742,22.796416540000003,71.05381858260385,12.552066206946336
2022-04-14 14:45:19,1649947519000000000,MP_005,8,csi4,97.228,19.18,18.38,19.26,19.59,1.0,7,49.02,-0.0558,10.7091,-5.211345,-0.063,12.73,afternoon,1.59125,-0.005205808415580103,0.08879175,-0.00828374264129184,0.10024875,-12.101866793916516,1.129032258064516
2022-05-09 13:53:40,1652104420000000000,MP_005,8,csi4,96.86,27.9,27.21,28.02,30.04,1644.5,7,27.17,0.6170228,27.36347,22.54915,0.8042858,14.94,afternoon,1.8675,0.022653397932241595,1.152290079,0.04230522063846118,1.5020037315,35.503980568641104,1.3034944575792016
2022-06-27 14:58:46,1656341926000000000,MP_001,8,csi4,96.85,28.3,28.54,26.71,28.76,1399.3,7,44.95,1.546283,23.0841,66.98479,4.340777,4.96,afternoon,1.6129032258064517,0.06791318809029778,2.4940048387096776,0.10953740014564159,7.001253225806452,63.9165546790187,2.8072332166880187
2022-08-17 14:19:12,1660745952000000000,MP_005,8,csi4,96.634,28.16,28.12,27.28,29.7,1330.1,7,60.49,1.982129,16.00721,123.8272,9.035646,16.38,afternoon,2.0475,0.1270375477202165,4.0584091275,0.26010937895714326,18.500485185,71.1257904623586,4.558555976931874
2022-09-07 15:06:58,1662563218000000000,MP_005,8,csi4,96.862,25.88,26.89,24.95,27.0,1400.1,7,66.8,0.254786,13.9619,18.24866,1.647692,16.63,afternoon,2.07875,0.018316876008682575,0.5296363975,0.0380762060030489,3.4251397449999996,89.95485907198149,6.466964432896626
2022-12-01 15:59:58,1669910398000000000,MP_001,8,csi4,97.65,20.28,20.5,19.41,20.4,301.8,7,47.2,0.5798995,13.43435,43.16544,-1.040179,5.38,afternoon,1.4869888475836432,0.04354907571733306,0.862304089219331,0.06475698991424991,1.5467345724907064,23.885214160492414,1.7937228778434882
2023-01-11 14:19:18,1673446758000000000,MP_001,8,csi4,97.9,19.12,19.59,18.51,19.19,1198.2,7,35.99,0.9917395,15.38812,64.44837,9.265299,14.35,afternoon,1.79375,0.06530733971296672,1.778932728125,0.11714504061013405,16.61963008125,141.87224653036026,9.342472494036993
2023-02-26 15:56:32,1677426992000000000,MP_001,8,csi4,97.86,18.53,18.8,17.87,18.67,600.0,7,65.71,0.3254298,7.989653,40.73141,4.606504,14.57,afternoon,1.82125,0.04107282923416258,0.59268902325,0.07480389024271861,8.38959541,112.15453344442392,14.15513883485778
2023-04-24 16:07:31,1682352451000000000,MP_001,8,csi4,,,,,,1000.0,7,67.72,0.93,11.06,83.9,8.29,8.17,afternoon,1.02125,0.08536159963455908,0.9497625000000001,0.08717553362679346,8.4661625,97.11626815207607,8.913978494623654
