,Date_Time,Code,Area,Label,Pamb,Tcuv,Tleaf,Tamb,Ttop,PARtop,Impeller speed,RH,E,VPD,GH2O,A,LA,Time of day,Area factor,gs,E_corrected,gs_corrected,A_corrected,WUE_intrinsic,WUE_instantaneous,Area factor std,E_corrected_std,gs_corrected_std,A_corrected_std
2022-01-12 14:56:04,1641999364000000000,MP_001,8,ph1,97.42,19.3,17.24,20.51,20.69,199.7,7,25.4,0.0775333,14.53676,5.333601,1.431388,,afternoon,3.19,0.005339412897544848,0.247331227,0.017032727143168065,4.56612772,268.0796610912365,18.461590052274314,1.1,0.08528663,0.005873354187299334,1.5745268000000003
2022-02-13 13:42:17,1644759737000000000,MP_005,8,ph1,97.806,23.21,21.22,20.78,23.27,1199.3,7,68.29,-0.1807129,6.036941,-29.93452,0.8975953,,afternoon,3.19,-0.029752757852045463,0.576474151,-0.09491129754802502,2.863329007,-30.16847394327486,4.966968600470691,1.1,-0.19878419000000003,-0.03272803363725001,0.98735483
2022-03-16 14:55:19,1647442519000000000,MP_005,8,ph1,98.27,12.07,11.34,11.06,12.43,999.7,7,42.02,0.5040511,7.712647,65.35384,3.661776,,afternoon,3.19,0.06623728095129097,1.6079230089999998,0.2112969262346182,11.681065440000001,55.28270405140523,7.264692012377318,1.1,0.55445621,0.07286100904642008,4.027953600000001
2022-04-14 14:17:17,1649945837000000000,MP_005,8,ph1,97.228,21.28,20.52,19.63,19.91,0.6,7,43.41,0.0507,13.77856,3.680279,-0.015,,afternoon,3.19,0.00368304525185642,0.16173300000000002,0.01174891435342198,0.04785,4.072716726040585,0.29585798816568043,1.1,0.05577000000000001,0.004051349777042063,-0.0165
2022-05-09 13:25:10,1652102710000000000,MP_005,8,ph1,96.9,27.99,27.35,28.07,29.85,1570.9,7,27.8,0.6168278,27.37715,22.53075,0.8581606,3.03,afternoon,2.6402640264026402,0.022634827477384916,1.6285882508250826,0.05976192073236942,2.265770561056106,37.913282124964816,1.391248254375046,,,,
2022-06-27 14:04:41,1656338681000000000,MP_001,8,ph1,96.85,28.12,28.47,27.34,28.5,1400.3,7,43.32,0.5227425,23.76226,21.99885,0.9365308,,afternoon,3.19,0.022098060595988175,1.6675485749999999,0.07049281330120227,2.987533252,42.380678427953264,1.791571949860591,1.1,0.5750167500000001,0.024307866655586995,1.03018388
2022-07-27 12:37:41,1658925461000000000,MP_005,8,ph1,96.474,30.02,29.23,28.54,31.15,1849.9,7,36.39,0.1603839,26.84413,5.974634,-0.7290384,3.33,afternoon,2.4024024024024024,0.005981927842749968,0.3853066666666667,0.014370997820420343,1.7514436036036036,121.87348613433824,4.545583440731893,,,,
2022-08-17 13:15:58,1660742158000000000,MP_005,8,ph1,96.646,29.28,28.56,28.67,29.55,1330.3,7,53.36,0.0492,18.50783,2.656678,0.1801754,2.27,afternoon,3.5242290748898677,0.0026581191768854304,0.1733920704845815,0.009367820887701956,0.6349793832599119,67.78304056747186,3.66210162601626,,,,
2022-09-07 14:22:06,1662560526000000000,MP_005,8,ph1,96.86,27.09,27.19,26.35,27.87,1399.7,7,59.76,0.2455297,15.55989,15.77966,0.7585868,3.48,afternoon,2.2988505747126435,0.01583064002391014,0.5644360919540229,0.036392275917034804,1.743877701149425,47.91889644728529,3.0895928272628526,,,,
2022-12-01 15:22:32,1669908152000000000,MP_001,8,ph1,97.63,21.73,21.87,20.82,21.72,300.0,7,39.75,0.4458053,16.588,26.87517,-1.959289,4.71,afternoon,1.6985138004246285,0.027023385936945105,0.7572064543524417,0.04589959394810209,3.32787940552017,72.50346069037012,4.394943263348372,,,,
2023-01-11 13:50:27,1673445027000000000,MP_001,8,ph1,97.9,21.05,21.41,20.36,21.09,1200.0,7,28.78,0.4332404,19.0356,22.75948,3.122993,3.36,afternoon,2.380952380952381,0.022865686353315217,1.031524761904762,0.05444211036503623,7.43569761904762,136.5798931964799,7.208452858966984,,,,
2023-02-26 14:54:27,1677423267000000000,MP_001,8,ph1,97.81,21.78,21.94,20.67,21.61,598.2,7,53.38,0.7570265,12.95997,58.41269,2.448324,1.85,afternoon,4.324324324324324,0.05911742630538248,3.273628108108108,0.2556429245638161,10.587347027027025,41.41459046868363,3.234132490738435,,,,
2023-04-24 15:13:22,1682349202000000000,MP_001,8,ph1,,,,,,1000.0,7,74.83,0.67,8.29,80.9,3.1,2.56,afternoon,3.125,0.08225809798510096,2.09375,0.2570565562034405,9.6875,37.686259176105544,4.626865671641791,,,,
