,Date_Time,Code,Area,Label,Pamb,Tcuv,Tleaf,Tamb,Ttop,PARtop,Impeller speed,RH,E,VPD,GH2O,A,LA,Time of day,Area factor,gs,E_corrected,gs_corrected,A_corrected,WUE_intrinsic,WUE_instantaneous
2022-01-12 15:15:09,1642000509000000000,MP_001,8,pl3,97.42,19.03,16.96,19.85,19.89,198.5,7,29.06,0.7710081,13.44975,57.3251,4.108506,,afternoon,,0.05800368511212677,,,,,
2022-02-13 13:59:33,1644760773000000000,MP_005,8,pl3,97.804,20.17,18.18,20.18,20.94,1199.8,7,70.29,0.1469038,4.437841,33.10252,3.792008,,afternoon,,0.03332766894444631,,,,,
2022-03-16 15:06:15,1647443175000000000,MP_005,8,pl3,98.24,12.23,11.56,11.03,12.45,979.5,7,49.91,1.232043,6.698555,183.9267,9.598316,5.57,afternoon,1.436265709156194,0.19109983511070536,1.7695411131059247,0.27447014019490895,13.785732136445244,50.22671000443111,7.790568997997635
2022-04-14 14:58:40,1649948320000000000,MP_005,8,pl3,97.216,19.21,18.47,18.43,19.43,0.8,7,48.05,0.0337,11.04276,3.051104,-0.6298192,4.33,afternoon,1.8475750577367205,0.0030530050277249206,0.06226327944572748,0.005640655940369368,1.163638244803695,206.294845334512,18.68899703264095
2022-05-09 13:41:35,1652103695000000000,MP_005,8,pl3,96.872,27.5,26.87,27.7,29.57,1629.5,7,26.78,0.3041875,26.9995,11.26641,0.7743176,3.8,afternoon,2.1052631578947367,0.011292374187238132,0.6403947368421052,0.023773419341553963,1.6301423157894737,68.56995589776689,2.545527347441956
2022-06-27 14:40:09,1656340809000000000,MP_001,8,pl3,96.85,28.01,28.17,27.03,28.3,1400.3,7,46.22,0.8178288,21.99611,37.18061,3.621486,4.25,afternoon,1.8823529411764706,0.03746488906716316,1.5394424470588235,0.07052214412642477,6.8169148235294115,96.66346518490356,4.428171274966105
2022-07-27 13:02:37,1658926957000000000,MP_005,8,pl3,96.48,30.96,29.96,30.3,31.43,1849.9,7,36.81,0.3605286,27.61831,13.05397,0.6002987,3.36,afternoon,2.380952380952381,0.013088839657187702,0.8584014285714285,0.031163903945685002,1.4292826190476189,45.863400860774355,1.6650515382136117
2022-08-17 14:00:31,1660744831000000000,MP_005,8,pl3,96.638,28.74,28.42,27.99,29.1,1330.3,7,54.36,0.3135832,18.4452,17.0008,1.489922,3.44,afternoon,2.3255813953488373,0.01705999050747336,0.7292632558139536,0.03967439652900782,3.46493488372093,87.33428071647046,4.75128131864207
2022-09-07 14:43:00,1662561780000000000,MP_005,8,pl3,96.85,27.25,27.36,26.27,27.91,1399.7,7,60.83,0.4444444,15.33733,28.97795,1.402847,3.11,afternoon,2.572347266881029,0.029150341251278057,1.1432653376205788,0.07498480064637443,3.608609646302251,48.12454811102748,3.1564060656406063
2022-12-01 15:48:56,1669909736000000000,MP_001,8,pl3,97.64,20.83,20.73,19.81,20.75,301.8,7,45.35,0.5730082,13.87264,41.30492,-1.587424,4.98,afternoon,1.6064257028112447,0.04165606292790862,0.9204951004016062,0.06691737016531504,2.5500787148594375,38.10787406258842,2.7703338276834435
2023-01-11 14:05:54,1673445954000000000,MP_001,8,pl3,97.9,20.62,20.91,19.92,20.62,1198.2,7,30.77,0.5396194,17.91463,30.12172,3.334819,2.96,afternoon,2.7027027027027026,0.030308032257430468,1.4584308108108106,0.08191360069575802,9.013024324324324,110.03086481084297,6.179946458559496
2023-02-26 15:50:52,1677426652000000000,MP_001,8,pl3,97.85,19.43,19.41,17.88,19.5,600.0,7,62.14,0.1426131,8.870214,16.07775,2.581601,3.99,afternoon,2.0050125313283207,0.016130677551224326,0.28594105263157893,0.032342210629021206,5.176142355889724,160.04293631199982,18.102130870165507
2023-04-24 15:51:32,1682351492000000000,MP_001,8,pl3,,,,,,1000.0,7,65.96,0.37,10.65,34.6,3.23,3.73,afternoon,2.1447721179624666,0.03484605582274839,0.7935656836461126,0.07473684894959441,6.927613941018767,92.69341748259995,8.72972972972973
