,Date_Time,Code,Area,Label,Pamb,Tcuv,Tleaf,Tamb,Ttop,PARtop,Impeller speed,RH,E,VPD,GH2O,A,LA,Time of day,Area factor,gs,E_corrected,gs_corrected,A_corrected,WUE_intrinsic,WUE_instantaneous
2022-01-12 15:39:38,1642001978000000000,MP_001,8,qc5,97.42,19.54,17.46,20.07,20.09,198.5,7,27.71,0.2561202,14.19885,18.03809,1.531048,,afternoon,,0.018104737937211804,,,,,
2022-02-13 14:32:49,1644762769000000000,MP_005,8,qc5,97.802,18.42,16.47,18.85,19.85,1199.8,7,66.89,0.3722862,4.739811,78.54451,4.332768,,afternoon,,0.07982404894087285,,,,,
2022-03-16 15:27:14,1647444434000000000,MP_005,8,qc5,98.24,11.78,11.05,10.55,12.14,998.3,7,52.81,0.9845969,6.040139,163.009,8.098095,6.0,afternoon,1.3333333333333333,0.16861845420436725,1.3127958666666666,0.22482460560582299,10.797460000000001,48.026148965788934,8.224782141808491
2022-04-14 15:18:45,1649949525000000000,MP_005,8,qc5,97.248,18.96,18.11,18.14,18.99,0.8,7,46.16,0.0606,11.133,5.439527,-0.0431,3.62,afternoon,2.2099447513812156,0.005445572170786416,0.13392265193370168,0.012034413637097053,0.09524861878453039,7.914687134478976,0.7112211221122111
2022-05-09 13:58:13,1652104693000000000,MP_005,8,qc5,96.858,27.62,27.03,27.35,29.58,1628.3,7,27.55,0.6217923,26.98717,23.04029,1.537248,6.24,afternoon,1.282051282051282,0.023149139569168184,0.7971696153846153,0.02967838406303613,1.970830769230769,66.4062694601153,2.4722853595967655
2022-06-27 15:12:06,1656342726000000000,MP_001,8,qc5,96.83,27.46,28.32,26.44,28.3,1400.3,7,46.54,1.210236,22.81825,53.03806,3.82343,6.2,afternoon,1.2903225806451613,0.0536184309299528,1.5615948387096774,0.06918507216768102,4.933458064516129,71.3081291952563,3.159243321137365
2022-08-17 14:29:27,1660746567000000000,MP_005,8,qc5,96.64,28.12,28.56,27.28,28.59,1330.5,7,54.89,0.0932,19.3837,4.808517,0.5163807,4.07,afternoon,1.9656019656019654,0.004813240377179338,0.18319410319410318,0.009460914746298453,1.0149989189189188,107.28338074455573,5.5405654506437765
2022-09-07 15:09:04,1662563344000000000,MP_005,8,qc5,96.866,26.14,26.54,25.16,26.88,1399.5,7,67.02,1.074703,12.76044,84.22146,5.443111,6.51,afternoon,1.228878648233487,0.08569437954262739,1.3206795698924731,0.10530799329355132,6.688922887864824,63.517712935798855,5.064758356494772
2022-12-01 16:12:18,1669911138000000000,MP_001,8,qc5,97.65,19.52,19.47,18.51,19.55,300.0,7,47.21,0.2431178,12.40681,19.59552,-0.3308569,7.26,afternoon,1.1019283746556474,0.01967419880739065,0.26789840220385674,0.021679557914480056,0.3645806060606061,16.816791536929728,1.360891304544546
2023-01-11 14:31:58,1673447518000000000,MP_001,8,qc5,97.89,20.7,20.81,19.7,20.67,1200.0,7,35.01,1.035556,16.65363,62.18198,8.259952,12.78,afternoon,1.5975,0.06298122433303104,1.6543007099999998,0.10061250587201707,13.19527332,131.14943520823235,7.976345074530012
2023-02-26 16:09:03,1677427743000000000,MP_001,8,qc5,97.84,17.66,17.74,16.8,17.7,600.0,7,67.58,0.0298,6.916313,4.3052,3.431726,6.33,afternoon,1.263823064770932,0.004308985927799258,0.037661927330173775,0.0054457958013260765,4.337094470774091,796.4115124768338,115.15859060402684
2023-04-24 16:33:27,1682354007000000000,MP_001,8,qc5,,,,,,,7,62.39,0.33,11.78,27.6,4.47,7.76,afternoon,1.0309278350515465,0.027756341843855184,0.3402061855670104,0.028614785406036274,4.608247422680413,161.04427684117127,13.545454545454545
