,Date_Time,Code,Area,Label,Pamb,Tcuv,Tleaf,Tamb,Ttop,PARtop,Impeller speed,RH,E,VPD,GH2O,A,LA,Time of day,Area factor,gs,E_corrected,gs_corrected,A_corrected,WUE_intrinsic,WUE_instantaneous
2021-10-12 09:37:56,1634031476000000000,MP_005,8,csi4,97.09,25.85,25.38,24.84,25.15,200.1,7,65.68,1.528705,11.1341,137.2994,4.75356,,morning,,0.14125747480326603,,,,,
2022-01-12 10:34:06,1641983646000000000,MP_001,8,csi4,97.62,23.23,21.13,22.05,23.65,799.9,7,28.96,1.996372,17.51952,113.9513,16.27113,,morning,,0.11666437284685383,,,,,
2022-02-13 10:40:13,1644748813000000000,MP_005,8,csi4,97.956,26.06,27.76,24.53,26.45,1169.6,7,62.03,0.0445,17.21517,2.58638,5.876459,,morning,,0.0025877458967821466,,,,,
2022-03-16 10:53:35,1647428015000000000,MP_005,8,csi4,98.432,12.87,12.19,12.85,16.27,1240.8,7,73.57,1.251057,3.377211,370.4408,8.209248,16.51,morning,2.06375,0.4007365484924008,2.5818688837500003,0.8270200519511922,16.94183556,20.4853987760382,6.561849699893769
2022-04-14 08:36:50,1649925410000000000,MP_005,8,csi4,97.29,15.93,15.18,14.61,19.26,1199.6,7,61.06,0.113047,6.457686,17.5058,0.6643438,13.24,morning,1.655,0.01756856567284811,0.18709278499999998,0.02907597618856362,1.0994889890000001,37.814344800311794,5.8767043795943295
2022-05-09 08:59:23,1652086763000000000,MP_005,8,csi4,97.2,24.77,24.04,24.45,27.79,1299.5,7,,0.2459077,,,22.0288,14.94,morning,1.8675,,0.45923262975,,41.138784,,89.58157877935501
2022-06-27 09:02:27,1656320547000000000,MP_001,8,csi4,96.96,25.93,26.34,25.14,26.57,1098.8,7,51.76,0.6791731,17.98282,37.76788,3.898101,17.61,morning,2.20125,0.03806124582962115,1.495029786375,0.08378231738245355,8.58069482625,102.4165372160862,5.739480848107794
2022-07-27 08:15:31,1658909731000000000,MP_005,8,csi4,96.548,26.09,26.13,24.87,27.48,1699.5,7,44.42,2.790864,20.03496,139.2997,12.1984,25.05,morning,3.13125,0.1433756563083797,8.7388929,0.44894502381561396,38.196239999999996,85.07999415021372,4.370832831696564
2022-08-17 08:58:42,1660726722000000000,MP_005,8,csi4,96.762,29.15,28.9,27.84,30.83,1249.7,7,63.14,1.661449,15.29541,108.624,7.855135,11.68,morning,1.46,0.11108658556539916,2.4257155399999997,0.16218641492548277,11.468497099999999,70.71182321447358,4.727882107726448
2022-09-07 08:57:40,1662541060000000000,MP_005,8,csi4,96.99,27.55,27.43,26.74,28.81,1300.3,7,68.03,2.949314,12.24701,240.8191,12.89919,25.74,morning,3.2175,0.25326631769116326,9.489417795,0.8148843771713177,41.503143825,50.93132840399831,4.373623832525123
2022-12-01 09:46:42,1669888002000000000,MP_001,8,csi4,97.76,22.1,22.21,21.52,21.99,700.6,7,48.14,0.4973931,14.58259,34.10869,1.11251,4.37,morning,1.8306636155606406,0.034347783448537415,0.9105594508009153,0.06287923743439343,2.0366315789473686,32.38957185306735,2.236681610581249
2023-01-11 09:57:21,1673431041000000000,MP_001,8,csi4,98.09,22.54,22.4,21.66,22.91,698.8,7,41.49,2.505901,16.368,153.0975,13.40152,22.1,morning,2.7625,0.15803521348921745,6.922551512500001,0.43657227726396325,37.021699,84.8008472549339,5.347984617109773
2023-02-26 11:01:09,1677409269000000000,MP_001,8,csi4,97.82,19.91,19.97,18.76,19.92,799.4,7,55.73,1.35844,10.81026,125.6622,9.520708,8.2,morning,1.025,0.12896967198257317,1.392401,0.1321939137821375,9.7587257,73.8212934377818,7.0085598186154705
2023-04-24 10:24:11,1682331851000000000,MP_001,8,csi4,97.39,24.68,25.44,23.14,24.77,1249.3,7,74.75,1.191286,9.813939,121.3872,12.88318,13.02,morning,1.6275,0.12447069994873827,1.9388179650000001,0.20257606416657153,20.96737545,103.50371617823133,10.814514734497005
2023-05-22 10:47:17,1684752437000000000,MP_001,8,csi4,96.68,31.94,33.36,31.26,33.2,499.9,7,38.26,4.192831293,35.62123,0.00036,8.03,21.64,morning,2.705,3.600000264489816e-07,11.341608647565002,9.738000715444953e-07,21.721149999999998,22305553.91678004,1.91517364731708
2023-06-28 10:25:00,1687947900000000000,MP_001,8,csi4,,,,,,,7,53.0,0.408,20.79142,19.6,2.01,11.35,morning,1.41875,0.019678714859437754,0.57885,0.027919176706827312,2.8516874999999997,102.1408163265306,4.9264705882352935
2023-07-26 09:07:31,1690362451000000000,MP_001,8,csi4,96.62,31.38,31.51,31.08,32.19,498.9,7,50.33,1.499607,24.83551,60.38159,5.455786,16.59,morning,2.07375,0.061134942041845816,3.10981001625,0.12677858605927775,11.3139362175,89.24169742838079,3.6381438603580807
