,Date_Time,Code,Area,Label,Pamb,Tcuv,Tleaf,Tamb,Ttop,PARtop,Impeller speed,RH,E,VPD,GH2O,A,LA,Time of day,Area factor,gs,E_corrected,gs_corrected,A_corrected,WUE_intrinsic,WUE_instantaneous
2021-10-12 09:54:35,1634032475000000000,MP_005,8,qc3,97.132,24.83,24.43,23.76,24.71,199.9,7,61.91,0.4084992,11.83057,34.52911,1.617379,,morning,,0.034774155025311435,,,,,
2022-01-12 10:21:22,1641982882000000000,MP_001,8,qc3,97.63,21.04,21.73,20.31,21.38,798.7,7,27.1,0.8979342,20.05298,44.77809,7.355945,,morning,,0.04519106336789455,,,,,
2022-02-13 10:31:33,1644748293000000000,MP_005,8,qc3,97.968,26.26,26.62,23.65,26.38,1169.8,7,61.22,1.428201,14.66759,97.37117,9.765931,,morning,,0.099345327296509,,,,,
2022-03-16 10:40:40,1647427240000000000,MP_005,8,qc3,98.442,13.85,13.07,11.22,15.1,1249.5,7,64.8,0.3842853,4.927684,77.98496,0.341378,4.16,morning,1.923076923076923,0.07924618667303036,0.7390101923076923,0.15239651283275069,0.6564961538461538,4.307816114969986,0.8883451956137797
2022-04-14 08:26:05,1649924765000000000,MP_005,8,qc3,97.27,15.79,15.03,13.97,18.0,1199.6,7,59.48,0.1789955,6.689564,26.75742,0.7789035,2.53,morning,3.16205533596838,0.02690433645517396,0.5659936758893281,0.08507300064877142,2.4629359683794467,28.95085338000259,4.351525597012215
2022-05-09 08:43:10,1652085790000000000,MP_005,8,qc3,97.206,23.6,22.87,23.59,25.97,1299.5,7,,0.1711046,,,-1.69522,4.3,morning,1.8604651162790697,,0.3183341395348837,,3.1538976744186047,,9.907506870066614
2022-06-27 08:39:20,1656319160000000000,MP_001,8,qc3,96.95,25.18,25.38,23.82,25.38,1099.9,7,53.46,0.7875616,16.18972,48.64579,3.299349,4.72,morning,1.6949152542372883,0.04913357398407732,1.3348501694915256,0.08327724404080902,5.592116949152542,67.15060054595698,4.189321825746709
2022-07-27 08:09:20,1658909360000000000,MP_005,8,qc3,96.546,25.9,26.01,24.92,26.51,1699.9,7,38.64,0.352134,21.99818,16.00742,3.71081,3.2,morning,2.5,0.01605988475928438,0.880335,0.04014971189821095,9.277025,231.06081118388747,10.538062214952262
2022-08-17 08:53:31,1660726411000000000,MP_005,8,qc3,96.76,28.92,28.09,26.88,29.66,1249.9,7,59.54,0.2379544,15.22922,15.62486,2.584894,4.22,morning,1.8957345971563981,0.015674843107976344,0.45109838862559243,0.02971534238478928,4.90027298578199,164.90716890714162,10.862980470207736
2022-09-07 08:47:40,1662540460000000000,MP_005,8,qc3,96.988,24.35,25.74,23.91,24.9,1301.1,7,72.62,0.625883,11.6454,53.7451,4.829266,4.17,morning,1.9184652278177459,0.05434113463573697,1.200734772182254,0.10425157723882393,9.264778896882493,88.86943624515479,7.715924541807334
2022-12-01 09:27:11,1669886831000000000,MP_001,8,qc3,97.78,23.74,24.01,20.65,23.7,700.6,7,50.09,0.2626531,15.83965,16.582,-0.9960324,4.42,morning,1.8099547511312217,0.016638305383647276,0.47539022624434385,0.030114579879904572,1.8027735746606335,59.863812872369586,3.7921973888752887
2023-01-11 09:55:00,1673430900000000000,MP_001,8,qc3,98.09,23.64,23.85,22.82,23.68,700.6,7,32.17,0.4089658,20.98002,19.49311,2.821209,3.73,morning,2.1447721179624666,0.019570966941099843,0.8771384450402145,0.041975264216836124,6.050850402144772,144.15276508772513,6.8983983501798924
2023-02-26 10:43:19,1677408199000000000,MP_001,8,qc3,97.81,19.76,19.92,18.97,19.83,797.6,7,50.56,0.6044906,12.08755,50.00936,4.915986,3.74,morning,2.13903743315508,0.05052501792044695,1.2930280213903742,0.10807490464266727,10.515478074866309,97.29805554429207,8.132444077707742
2023-04-24 10:04:05,1682330645000000000,MP_001,8,qc3,97.39,23.97,24.01,22.4,24.07,1250.2,7,75.75,0.148091,7.705722,19.21831,0.5810654,5.42,morning,1.4760147601476015,0.019293983009512558,0.21858450184501846,0.028478203704077578,0.85766110701107,30.116404669451395,3.92370501921116
2023-05-22 10:06:11,1684749971000000000,MP_001,8,qc3,96.69,31.03,31.74,30.08,31.75,498.9,7,40.13,0.427366856,30.82468,4.22e-05,0.815,4.26,morning,1.8779342723004695,4.220000036343674e-08,0.8025668657276995,7.924882697359011e-08,1.5305164319248825,19312796.042204276,1.9070266880967484
2023-06-28 10:17:00,1687947420000000000,MP_001,8,qc3,,,,,,,7,52.73,0.334,21.63753,15.4,0.805,4.65,morning,1.7204301075268815,0.015448552593866438,0.5746236559139785,0.02657815500020032,1.3849462365591396,52.108441558441555,2.410179640718563
2023-07-26 09:27:26,1690363646000000000,MP_001,8,qc3,96.63,32.69,33.56,32.13,33.73,798.7,7,48.8,0.9725379,29.92924,32.49458,3.019137,5.1,morning,1.5686274509803924,0.03271150790007749,1.5255496470588237,0.05131216925502352,4.735901176470589,92.29586753452134,3.104390070556634
