,Date_Time,Code,Area,Label,Pamb,Tcuv,Tleaf,Tamb,Ttop,PARtop,Impeller speed,RH,E,VPD,GH2O,A,LA,Time of day,Area factor,gs,E_corrected,gs_corrected,A_corrected,WUE_intrinsic,WUE_instantaneous
2022-01-12 11:34:05,1641987245000000000,MP_001,8,cse1,97.56,21.1,21.95,21.32,21.79,899.7,7,27.94,0.9921179,20.18603,49.14873,5.15335,,noon,,0.04964670396913653,,,,,
2022-02-13 11:31:26,1644751886000000000,MP_005,8,cse1,97.922,24.42,25.34,23.73,24.97,1500.6,7,70.81,0.2034841,11.1898,18.18478,4.133409,,noon,,0.018252518373688055,,,,,
2022-03-16 12:08:02,1647432482000000000,MP_005,8,cse1,98.416,10.97,10.3,11.1,11.55,1250.1,7,63.47,0.3647216,4.328298,84.26443,0.6792179,2.72,noon,2.941176470588235,0.08573886605655136,1.0727105882352939,0.2521731354604452,1.997699705882353,7.921937054217672,1.8622914025382653
2022-04-14 12:08:37,1649938117000000000,MP_005,8,cse1,97.272,20.83,20.11,21.21,25.16,1668.2,7,47.86,1.206936,12.30508,98.08433,4.336708,4.34,noon,1.8433179723502304,0.10008780870572848,2.2247668202764976,0.18449365660042116,7.993931797235023,43.32903333662245,3.5931548980227617
2022-05-09 11:10:15,1652094615000000000,MP_005,8,cse1,97.124,28.43,27.82,27.94,30.25,1623.5,7,29.88,2.137221,27.27978,78.34449,3.451057,3.62,noon,2.2099447513812156,0.07961746752828469,4.723140331491712,0.17595020448239712,7.626645303867404,43.34547564922216,1.6147403567529988
2022-06-27 10:53:08,1656327188000000000,MP_001,8,cse1,96.93,28.68,29.27,27.14,29.13,1699.7,7,44.11,0.6807297,24.81944,27.42728,1.216682,2.9,noon,2.7586206896551726,0.02758166572832596,1.8778750344827588,0.076087353733313,3.3563641379310347,44.111984097845315,1.7873202829258072
2022-07-27 10:08:29,1658916509000000000,MP_005,8,cse1,96.524,32.1,32.19,30.22,33.35,1749.7,7,29.52,0.3918965,36.35538,10.7796,0.6392869,4.92,noon,1.6260162601626016,0.010803366524446311,0.6372300813008129,0.017566449633246033,1.0394908943089431,59.17478579972223,1.6312646323710471
2022-08-17 10:28:42,1660732122000000000,MP_005,8,cse1,96.698,29.58,28.82,27.46,30.1,1699.3,7,55.58,0.6777909,17.77006,38.14229,0.3179818,2.61,noon,3.0651340996168583,0.03844152423786175,2.07752,0.117828426782718,0.9746568582375479,8.271831211282045,0.46914439246676226
2022-09-07 11:37:44,1662550664000000000,MP_005,8,cse1,96.892,27.37,28.23,26.73,28.49,1499.7,7,50.37,0.5851713,21.21599,27.58162,0.3446715,3.59,noon,2.2284122562674096,0.02773775309500413,1.3040028969359332,0.061811148958226474,0.7680701949860725,12.426078594739497,0.5890095771956008
2022-12-01 12:26:09,1669897569000000000,MP_001,8,cse1,97.59,24.82,24.76,23.37,24.53,1149.7,7,29.61,0.5044578,22.95863,21.97247,3.72996,5.9,noon,1.3559322033898304,0.022071442265927516,0.6840105762711863,0.02992737934363053,5.057572881355933,168.9948466013059,7.393998070799977
2023-01-11 12:20:58,1673439658000000000,MP_001,8,cse1,97.93,22.01,22.08,21.02,22.01,1200.0,7,33.42,0.8977838,18.43998,48.68681,4.468841,5.71,noon,1.4010507880910683,0.04917542109871493,1.257840700525394,0.0688972624850647,6.261073204903679,90.87550040556302,4.977636041104775
2023-02-26 12:22:59,1677414179000000000,MP_001,8,cse1,97.78,21.47,21.65,21.04,21.57,1201.8,7,48.42,0.1683527,14.05453,11.97853,2.494782,1.9,noon,4.2105263157894735,0.012007884449820143,0.7088534736842105,0.05055951347292691,10.504345263157893,207.76199258291223,14.818782235152746
2023-04-24 11:59:00,1682337540000000000,MP_001,8,cse1,97.34,25.57,25.68,24.94,25.96,1800.4,7,69.66,0.1384521,10.73419,12.89823,4.329316,3.1,noon,2.5806451612903225,0.012932271512733406,0.35729574193548386,0.033373603903828146,11.172428387096774,334.76841216465783,31.26941375392645
2023-05-22 12:32:39,1684758759000000000,MP_001,8,cse1,96.73,31.16,32.06,31.0,32.28,999.8,7,35.64,6.160688361,33.74132,0.000496,10.5,4.89,noon,1.6359918200408998,4.96000050207352e-07,10.078835764417178,8.114520248791035e-07,17.177914110429448,21169352.695852533,1.7043549981313524
