,Date_Time,Code,Area,Label,Pamb,Tcuv,Tleaf,Tamb,Ttop,PARtop,Impeller speed,RH,E,VPD,GH2O,A,LA,Time of day,Area factor,gs,E_corrected,gs_corrected,A_corrected,WUE_intrinsic,WUE_instantaneous
2021-10-12 11:22:24,1634037744000000000,MP_005,8,csi1,97.25,26.24,25.74,25.01,25.69,499.3,7,49.04,1.219196,17.2881,70.52225,5.621245,,noon,,0.0715520482520082,,,,,
2022-01-12 11:40:25,1641987625000000000,MP_001,8,csi1,97.54,21.81,19.64,20.9,22.57,899.7,7,30.19,1.369565,15.58738,87.86369,9.284978,,noon,,0.08946797290536436,,,,,
2022-02-13 11:25:07,1644751507000000000,MP_005,8,csi1,97.942,24.58,25.8,23.08,24.84,1500.1,7,70.79,0.9131741,11.933,76.52512,6.34843,,noon,,0.07773920199207092,,,,,
2022-03-16 12:01:55,1647432115000000000,MP_005,8,csi1,98.426,10.69,9.97,10.29,12.98,1249.2,7,71.16,0.6799928,3.185907,213.4377,3.173924,12.56,noon,1.57,0.2231581835581275,1.067588696,0.35035834818626016,4.98306068,14.222754233762021,4.667584715602871
2022-04-14 12:04:59,1649937899000000000,MP_005,8,csi1,97.274,21.91,21.2,20.36,25.12,1494.5,7,44.86,1.283436,14.00875,91.61674,1.94329,9.7,noon,1.2125,0.09336236354836656,1.55616615,0.11320186580239446,2.3562391249999997,20.81449018793611,1.514130817586541
2022-05-09 11:12:15,1652094735000000000,MP_005,8,csi1,97.122,28.7,28.12,27.82,30.49,1636.5,7,26.06,0.8580235,29.35246,29.23174,2.913513,10.26,noon,1.2825,0.029407173233078426,1.10041513875,0.03771469967142308,3.7365804225,99.07490859144387,3.3956097939042458
2022-06-27 10:46:00,1656326760000000000,MP_001,8,csi1,96.93,28.52,29.55,27.69,29.0,1698.7,7,43.0,0.8609921,26.16411,32.90737,3.41006,9.45,noon,1.18125,0.033129863197199926,1.017046918125,0.03913465090169241,4.0281333749999995,102.93009601947924,3.960617060249449
2022-07-27 09:54:59,1658915699000000000,MP_005,8,csi1,96.532,30.85,30.93,29.01,32.89,1749.3,7,30.34,1.049385,33.36785,31.44899,2.259705,9.08,noon,1.135,0.0316521385281737,1.191051975,0.035925177229477155,2.564765175,71.39185865715287,2.1533612544490346
2022-08-17 10:39:24,1660732764000000000,MP_005,8,csi1,96.69,28.96,28.67,28.43,30.55,1698.9,7,57.03,1.159032,17.6366,65.7174,3.066809,12.79,noon,1.59875,0.0666107645423956,1.85300241,0.10649395981215497,4.90306088875,46.04074162890106,2.646008910884255
2022-09-07 11:26:32,1662549992000000000,MP_005,8,csi1,96.892,27.87,29.91,27.44,29.59,1499.7,7,47.2,0.2376688,26.10694,9.103664,0.9944785,10.26,noon,1.2825,0.009120609094013726,0.304810236,0.011697181163072603,1.27541867625,109.03641300148713,4.184303955756919
2022-12-01 12:20:29,1669897229000000000,MP_001,8,csi1,97.59,24.62,24.73,23.46,24.47,1147.9,7,30.43,0.6449565,22.75439,28.34426,4.087943,2.72,noon,2.941176470588235,0.028509172530323333,1.8969308823529412,0.08385050744212745,12.023361764705882,143.39044725524474,6.338323592366307
2023-01-11 12:16:56,1673439416000000000,MP_001,8,csi1,97.94,21.75,21.95,20.53,21.76,1200.0,7,30.82,0.3517442,19.05584,18.45861,2.763556,5.43,noon,1.4732965009208103,0.018528407683950823,0.5182234990791897,0.027297838208399004,4.07153738489871,149.15237440472407,7.856720878411071
2023-02-26 12:15:46,1677413746000000000,MP_001,8,csi1,97.78,21.71,21.79,20.64,21.76,1198.2,7,53.95,1.036845,12.61819,82.17068,8.079526,9.2,noon,1.15,0.08357214530796206,1.19237175,0.09610796710415637,9.291454899999998,96.6772597523621,7.792414488182899
2023-04-24 11:51:21,1682337081000000000,MP_001,8,csi1,97.32,25.86,26.54,24.46,26.05,1799.4,7,74.11,1.392315,10.59127,131.4588,12.51306,9.71,noon,1.21375,0.13508284672050228,1.68992233125,0.16395680520700964,15.187726575000001,92.63248668345412,8.987233492420897
2023-05-22 12:41:50,1684759310000000000,MP_001,8,csi1,96.73,31.79,32.7,29.9,32.81,999.8,7,35.59,9.705593286,35.0633,0.000779,17.2,10.49,noon,1.31125,7.790001238451217e-07,12.726459196267498,1.0214639123919158e-06,22.5535,22079585.70674072,1.7721739921670154
2023-07-26 12:00:38,1690372838000000000,MP_001,8,csi1,96.64,39.19,39.33,37.8,40.79,1599.3,7,37.23,0.6341797,48.89751,12.96957,0.899289,11.99,noon,1.49875,0.013003989623203554,0.950476825375,0.019489729447776327,1.34780938875,69.15485370700094,1.4180349828289993
