,Date_Time,Code,Area,Label,Pamb,Tcuv,Tleaf,Tamb,Ttop,PARtop,Impeller speed,RH,E,VPD,GH2O,A,LA,Time of day,Area factor,gs,E_corrected,gs_corrected,A_corrected,WUE_intrinsic,WUE_instantaneous
2022-01-12 12:31:40,1641990700000000000,MP_001,8,pl6,97.48,23.87,21.72,22.59,24.11,898.6,7,20.52,0.3100227,20.76945,14.92686,0.5882768,,noon,,0.014972470606652983,,,,,
2022-02-13 12:39:06,1644755946000000000,MP_005,8,pl6,97.854,24.37,22.33,23.36,24.73,1500.3,7,68.54,0.6396477,6.348945,100.7487,1.657859,,noon,,0.10286367584043786,,,,,
2022-03-16 13:18:20,1647436700000000000,MP_005,8,pl6,98.366,11.36,10.67,10.34,11.87,1249.5,7,55.88,1.066172,5.465965,195.0565,9.067621,7.15,noon,1.1188811188811187,0.20314310894487894,1.19291972027972,0.22729298902923514,10.14558993006993,44.63661626080764,8.504838806496515
2022-04-14 13:06:11,1649941571000000000,MP_005,8,pl6,97.24,21.68,20.93,19.62,23.44,1307.9,7,41.28,0.9762703,14.7306,66.275,3.65394,4.85,noon,1.6494845360824744,0.06718369373516285,1.610342762886598,0.11081846389305214,6.027117525773196,54.38730437185812,3.7427544400357156
2022-05-09 12:29:14,1652099354000000000,MP_005,8,pl6,97.002,28.12,27.55,28.13,30.19,1618.6,7,25.91,0.8551878,28.46744,30.04091,2.33158,5.45,noon,1.4678899082568806,0.030226220853120146,1.2553215412844037,0.04436876455503874,3.422502752293578,77.13766174507785,2.7263953017103377
2022-06-27 11:53:13,1656330793000000000,MP_001,8,pl6,96.9,28.07,28.38,26.57,28.55,1699.7,7,45.96,0.4181459,22.51766,18.56968,2.22512,5.81,noon,1.376936316695353,0.01864032179814051,0.5757602753872634,0.025666536038747693,3.063848537005164,119.37132974935926,5.3213961920946735
2022-07-27 11:22:21,1658920941000000000,MP_005,8,pl6,96.516,31.91,31.77,30.54,32.45,1749.9,7,25.74,0.3393871,37.14833,9.135998,1.048838,7.68,noon,1.0416666666666667,0.009153063790302465,0.3535282291666667,0.009534441448231736,1.0925395833333333,114.5887348792683,3.0903885268473665
2022-08-17 12:13:04,1660738384000000000,MP_005,8,pl6,96.68,30.02,29.82,29.6,31.29,1698.9,7,52.66,0.1792607,21.00681,8.533459,0.6025116,5.89,noon,1.3582342954159594,0.008548346134951104,0.24347803056027167,0.011610656889577053,0.8183519185059425,70.48282679342469,3.3610914160214707
2022-09-07 13:04:46,1662555886000000000,MP_005,8,pl6,96.866,27.75,28.26,26.92,28.73,1500.1,7,59.33,0.5128065,17.34306,29.56839,0.3454666,3.75,noon,2.1333333333333333,0.029747899693842533,1.0939872000000002,0.06346218601353074,0.7369954133333334,11.613142559826084,0.6736782782589534
2022-12-01 13:53:50,1669902830000000000,MP_001,8,pl6,97.63,23.87,23.72,22.89,23.85,1151.5,7,32.73,0.1124495,20.53924,5.474861,-4.096756,5.27,noon,1.5180265654648957,0.005480985006337302,0.17070132827324477,0.008320280844534804,6.218984440227704,747.4488609735641,36.43196279218672
2023-01-11 13:35:55,1673444155000000000,MP_001,8,pl6,97.91,20.62,20.82,19.85,20.67,1200.0,7,32.77,1.106012,17.26118,64.07509,4.427775,3.37,noon,2.373887240356083,0.06492407281816127,2.625547774480712,0.15412242805498225,10.511038575667653,68.19927967860657,4.00336976452335
2023-02-26 13:18:34,1677417514000000000,MP_001,8,pl6,97.78,21.14,21.36,20.43,21.26,1200.0,7,52.06,1.009367,12.90026,78.24394,3.592941,3.03,noon,2.6402640264026402,0.07951362558146502,2.6649953795379537,0.2099369652315908,9.48631287128713,45.186481860506824,3.5595982432554267
2023-04-24 13:20:01,1682342401000000000,MP_001,8,pl6,97.3,25.84,25.9,24.9,25.78,1800.4,7,64.73,0.1813262,12.54962,14.44873,1.347734,4.13,noon,1.937046004842615,0.014491461267583832,0.35123719128329295,0.02807062715270476,2.610622760290557,93.00193921883961,7.4326490049424745
2023-05-22 13:58:26,1684763906000000000,MP_001,8,pl6,96.73,32.19,33.11,30.69,33.11,998.8,7,31.08,1.26595045,38.1794,8.32e-05,2.01,1.65,noon,4.848484848484849,8.320000141270207e-08,6.137941575757576,4.0339394624340395e-07,9.745454545454544,24158653.43594976,1.5877398677017727
2023-07-26 12:50:30,1690375830000000000,MP_001,8,pl6,96.62,40.61,41.83,38.43,42.11,1600.2,7,29.39,1.011166,64.37973,15.70628,0.7347192,6.73,noon,1.188707280832095,0.015756786223740857,1.2019803863298664,0.01873020650667561,0.8733660624071322,46.62874710408862,0.7266059183160826
