,Date_Time,Code,Area,Label,Pamb,Tcuv,Tleaf,Tamb,Ttop,PARtop,Impeller speed,RH,E,VPD,GH2O,A,LA,Time of day,Area factor,gs,E_corrected,gs_corrected,A_corrected,WUE_intrinsic,WUE_instantaneous
2021-10-12 11:23:56,1634037836000000000,MP_005,8,qc1,97.248,26.12,25.52,25.11,25.99,499.1,7,45.58,0.0802,18.16505,4.413285,-0.1101588,,noon,,0.004417263498518175,,,,,
2022-01-12 11:32:31,1641987151000000000,MP_001,8,qc1,97.56,20.28,18.16,20.46,21.37,900.9,7,25.98,0.2566009,15.24382,16.83311,2.13681,,noon,,0.016891136604180245,,,,,
2022-02-13 11:29:16,1644751756000000000,MP_005,8,qc1,97.936,24.48,25.78,23.6,24.84,1500.4,7,69.21,0.2510296,12.52107,20.04857,2.248806,,noon,,0.02013093663106397,,,,,
2022-03-16 12:03:34,1647432214000000000,MP_005,8,qc1,98.424,10.94,10.2,9.92,11.83,1249.8,7,67.46,0.5530772,3.71893,148.7195,4.261735,6.0,noon,1.3333333333333333,0.1533745587110675,0.7374362666666667,0.20449941161475665,5.682313333333333,27.786453215023812,7.705497532713334
2022-04-14 12:03:17,1649937797000000000,MP_005,8,qc1,97.266,21.73,20.97,21.03,24.88,1161.0,7,42.7,0.6913458,14.36505,48.12693,2.12534,3.44,noon,2.3255813953488373,0.048604312931871486,1.6077809302325583,0.11303328588807324,4.942651162790698,43.72739520007375,3.074206858564845
2022-05-09 11:08:20,1652094500000000000,MP_005,8,qc1,97.12,27.98,27.3,28.13,30.04,1639.8,7,25.65,0.2399774,28.05195,8.554748,0.8795251,6.79,noon,1.1782032400589102,0.008569709572617741,0.28274215022091315,0.010096859584822081,1.036259322533137,102.6318444688361,3.6650330406113234
2022-06-27 10:49:01,1656326941000000000,MP_001,8,qc1,96.93,27.91,28.56,27.4,29.02,1697.6,7,43.55,0.2624677,24.08639,10.89693,0.8335626,7.8,noon,1.0256410256410258,0.010921217293952446,0.2691976410256411,0.011201248506617896,0.8549360000000001,76.3250631833486,3.1758673543449345
2022-07-27 10:05:37,1658916337000000000,MP_005,8,qc1,96.52,31.85,32.14,31.5,32.89,1749.5,7,29.48,0.1807459,36.42474,4.962174,0.1241886,4.76,noon,1.680672268907563,0.004967204230956641,0.3037746218487395,0.008348242404969146,0.2087203361344538,25.001710061774997,0.6870894443525414
2022-08-17 10:37:13,1660732633000000000,MP_005,8,qc1,96.704,29.2,28.88,28.47,30.18,1699.1,7,54.23,0.2170617,19.03032,11.4061,0.5365727,2.92,noon,2.73972602739726,0.011432712788845072,0.5946895890410958,0.03132250079135636,1.4700621917808219,46.933104146859655,2.4719823902604654
2022-09-07 11:24:02,1662549842000000000,MP_005,8,qc1,96.89,27.94,29.79,27.16,29.32,1500.1,7,45.82,0.0397,26.25702,1.512149,0.4230479,5.65,noon,1.415929203539823,0.0015126157960129235,0.05621238938053097,0.002141756879310334,0.5990058761061946,279.67967881540324,10.65611838790932
2022-12-01 12:17:52,1669897072000000000,MP_001,8,qc1,97.6,24.53,25.31,23.72,24.49,1149.7,7,29.57,0.2280774,24.23499,9.411077,1.976202,7.26,noon,1.1019283746556474,0.009429186960107954,0.25132495867768595,0.010390288661275983,2.17763305785124,209.58349944281673,8.664611224084457
2023-01-11 12:14:38,1673439278000000000,MP_001,8,qc1,97.93,21.84,22.27,20.49,21.92,1198.2,7,30.85,0.5576069,19.53914,28.53794,3.781412,11.1,noon,1.3875,0.02870512061424122,0.77367957375,0.03982835485225969,5.24670915,131.73301205792396,6.781501448421818
2023-02-26 12:14:29,1677413669000000000,MP_001,8,qc1,97.78,21.69,22.06,20.65,21.77,1194.6,7,53.39,0.5652013,13.23565,42.70296,5.848464,8.0,noon,1.0,0.0430783833636001,0.5652013,0.0430783833636001,5.848464,135.7633119756711,10.347577049097374
2023-04-24 11:49:42,1682336982000000000,MP_001,8,qc1,97.33,26.12,26.72,24.87,26.67,1800.4,7,71.7,0.3604004,11.44175,31.4987,4.072782,6.36,noon,1.2578616352201257,0.031702493331982884,0.4533338364779874,0.03987735010312312,5.122996226415094,128.4688228572608,11.300714427619948
2023-05-22 12:44:14,1684759454000000000,MP_001,8,qc1,96.73,31.71,32.5,30.12,32.83,999.8,7,34.4,6.325320751,35.11736,0.000488,10.8,8.75,noon,1.09375,4.880000486008212e-07,6.91831957140625,5.337500531571482e-07,11.8125,22131145.336901974,1.7074232952206538
2023-07-26 12:35:17,1690374917000000000,MP_001,8,qc1,96.64,39.52,40.36,38.85,41.67,1599.3,7,31.86,0.2098931,56.9874,3.683149,0.4943027,6.61,noon,1.210287443267776,0.003685919569587103,0.2540309833585476,0.004461022171966236,0.5982483509833585,134.10566635217486,2.355021198886481
