date,species_code,plot_name,average,stdev
11/08/2022,P1CSE,plot_1,1.64157,0.368116801
11/08/2022,P1PH,plot_1,,
11/08/2022,P1PL,plot_1,2.8193125,0.69535347
11/08/2022,P1QC,plot_1,5.177975,1.097018505
11/08/2022,P1CSI,plot_1,2.2709,0.521082696
11/08/2022,P1PLOT,plot_1,2.413006667,1.14069191
11/08/2022,P2CSE,plot_2,1.91446,#DIV/0!
11/08/2022,P2PH,plot_2,1.69014,#DIV/0!
11/08/2022,P2PL,plot_2,,#DIV/0!
11/08/2022,P2QC,plot_2,3.4768225,0.518945391
11/08/2022,P2CSI,plot_2,3.63894,0.825031358
11/08/2022,P2PLOT,plot_2,6.066118235,1.592646638
11/08/2022,P3CSE,plot_3,3.179975,0.691999624
11/08/2022,P3PH,plot_3,4.346225,0.661485838
11/08/2022,P3PL,plot_3,4.346225,0.661485838
11/08/2022,P3QC,plot_3,4.1687125,0.695403327
11/08/2022,P3CSI,plot_3,5.82693,1.947413319
11/08/2022,P3PLOT,plot_3,4.167014,0.345989278
11/08/2022,P4CSE,plot_4,3.35139,0.208524282
11/08/2022,P4PH,plot_4,2.9639175,0.350915413
11/08/2022,P4PL,plot_4,5.2783625,0.28256417
11/08/2022,P4QC,plot_4,5.040605,1.290467701
11/08/2022,P4CSI,plot_4,4.9458175,0.716256697
11/08/2022,P4PLOT,plot_4,3.453575,0.468502746
11/08/2022,P5CSE,plot_5,1.738396667,0.558660779
11/08/2022,P5PH,plot_5,,
11/08/2022,P5PL,plot_5,#DIV/0!,#DIV/0!
11/08/2022,P5QC,plot_5,3.5208175,0.185560299
11/08/2022,P5CSI,plot_5,2.900915,0.719568403
11/08/2022,P5PLOT,plot_5,2.819405,0.34249633
11/08/2022,P6CSE,plot_6,3.35582,#DIV/0!
11/08/2022,P6PH,plot_6,#DIV/0!,#DIV/0!
11/08/2022,P6PL,plot_6,2.86358,0.538418768
11/08/2022,P6QC,plot_6,4.0951975,0.138883083
11/08/2022,P6CSI,plot_6,2.72345,#DIV/0!
11/08/2022,P6PLOT,plot_6,3.766358,1.381885048
08/09/2022,P1CSE,plot_1,1.729042,0.394124309
08/09/2022,P1PH,plot_1,0.685666667,0.09714004
08/09/2022,P1PL,plot_1,4.88113,0.585959768
08/09/2022,P1QC,plot_1,4.622768,0.286798844
08/09/2022,P1CSI,plot_1,2.980122,0.530810181
08/09/2022,P1PLOT,plot_1,1.891870563,0.888827148
08/09/2022,P2CSE,plot_2,#DIV/0!,#DIV/0!
08/09/2022,P2PH,plot_2,1.4700075,0.145576755
08/09/2022,P2PL,plot_2,#DIV/0!,#DIV/0!
08/09/2022,P2QC,plot_2,3.771926667,0.171903518
08/09/2022,P2CSI,plot_2,3.933992,0.227811361
08/09/2022,P2PLOT,plot_2,3.036619111,2.225257553
08/09/2022,P3CSE,plot_3,1.490486,0.215822864
08/09/2022,P3PH,plot_3,1.489374,0.093092295
08/09/2022,P3PL,plot_3,2.466696,0.240361992
08/09/2022,P3QC,plot_3,1.834688,0.038062723
08/09/2022,P3CSI,plot_3,3.22955,0.197806051
08/09/2022,P3PLOT,plot_3,2.185679167,0.704240712
08/09/2022,P4CSE,plot_4,1.868038,0.271389119
08/09/2022,P4PH,plot_4,1.217052,0.092655449
08/09/2022,P4PL,plot_4,5.496292,0.297723886
08/09/2022,P4QC,plot_4,2.655886,0.37736433
08/09/2022,P4CSI,plot_4,2.079894,0.675589485
08/09/2022,P4PLOT,plot_4,2.494316875,0.681638945
08/09/2022,P5CSE,plot_5,2.62087,#DIV/0!
08/09/2022,P5PH,plot_5,#DIV/0!,#DIV/0!
08/09/2022,P5PL,plot_5,#DIV/0!,#DIV/0!
08/09/2022,P5QC,plot_5,4.034668,0.509747329
08/09/2022,P5CSI,plot_5,2.54556,0.098377925
08/09/2022,P5PLOT,plot_5,2.700425714,0.553401156
08/09/2022,P6CSE,plot_6,1.85581,0.106702413
08/09/2022,P6PH,plot_6,#DIV/0!,#DIV/0!
