Acclima SDI-12 Sensor Reader RD1200,,,,,,,,,,,,
Reader Serial Number: 801521,,,,,,,,,,,,
,,,,,,,,,,,,
Sensor Measurement Data,,,,,,,,,,,,
Date,Time,Plot,Sensor SN,Latitude,Longitude,Model,Tag,VWC[%],Temp[C],Perm,EC,PWEC
11/1/2023,14:30,1.a,50079737,,,,,17.08,,,,
11/1/2023,14:31,1.a,50079737,,,,,20.72,,,,
11/1/2023,14:32,1.b,50079737,,,,,24.49,,,,
11/1/2023,14:33,1.b,50079737,,,,,16.9,,,,
11/1/2023,14:10,3.a,50079737,,,,,21.65,,,,
11/1/2023,14:11,3.a,50079737,,,,,20.72,,,,
11/1/2023,14:12,3.b,50079737,,,,,25.04,,,,
11/1/2023,14:13,3.b,50079737,,,,,35.94,,,,
11/1/2023,14:15,2.a,50079737,,,,,12.53,,,,
11/1/2023,14:15,2.a,50079737,,,,,7.22,,,,
11/1/2023,14:20,2.b,50079737,,,,,19.67,,,,
11/1/2023,14:20,2.b,50079737,,,,,6.03,,,,
11/1/2023,14:45,5.a,50079737,,,,,8.13,,,,
11/1/2023,14:45,5.a,50079737,,,,,16.05,,,,
11/1/2023,14:50,5.b,50079737,,,,,7.28,,,,
11/1/2023,14:50,5.b,50079737,,,,,17.33,,,,
11/1/2023,15:00,6.a,50079737,,,,,5.18,,,,
11/1/2023,15:00,6.a,50079737,,,,,7.01,,,,
11/1/2023,15:10,6.a,50079737,,,,,11.94,,,,
11/1/2023,15:10,6.a,50079737,,,,,4.54,,,,
