Acclima SDI-12 Sensor Reader RD1200,,,,,,,,,,,,
Reader Serial Number: 801521,,,,,,,,,,,,
,,,,,,,,,,,,
Sensor Measurement Data,,,,,,,,,,,,
Date,Time,Plot,Sensor SN,Lattitude,Longitude,Model,Tag,VWC[%],Temp[C],Perm,EC,PWEC
8/6/2023,7:34:35,1.a,50079737,0,0,TDR-315H,64,2.87,26.89,2.96,0,0
8/6/2023,7:35:11,1.a,50079737,0,0,TDR-315H,64,4.45,27.24,3.57,0,0
8/6/2023,7:39:03,1.b,50079737,0,0,TDR-315H,64,12.29,28.56,6.86,18,502
8/6/2023,7:58:25,2.a,50079737,0,0,TDR-315H,64,7.65,29.49,4.86,7,235
8/6/2023,8:01:51,2.b,50079737,0,0,TDR-315H,64,1.49,30.68,2.43,0,0
8/6/2023,8:02:11,2.b,50079737,0,0,TDR-315H,64,1.82,30.6,2.56,0,0
8/6/2023,8:02:53,2.b,50079737,0,0,TDR-315H,64,3.46,30.11,3.19,0,0
8/6/2023,8:29:52,3.a,50079737,0,0,TDR-315H,64,3.78,30.76,3.31,0,0
8/6/2023,8:31:06,3.a,50079737,0,0,TDR-315H,64,6.65,30.6,4.45,19,604
8/6/2023,8:32:29,3.b,50079737,0,0,TDR-315H,64,2.47,31.12,2.81,0,0
8/6/2023,8:33:07,3.b,50079737,0,0,TDR-315H,64,1.82,31.23,2.56,0,0
8/6/2023,8:33:28,3.b,50079737,0,0,TDR-315H,64,2.78,31.31,2.92,0,0
8/6/2023,9:09:12,5.a,50079737,0,0,TDR-315H,64,5.78,30.57,4.1,6,182
8/6/2023,9:15:24,5.b,50079737,0,0,TDR-315H,64,4.5,30.63,3.59,0,0
8/6/2023,9:25:30,6.a,50079737,0,0,TDR-315H,64,6.44,30.49,4.37,0,0
8/6/2023,9:27:00,6.a,50079737,0,0,TDR-315H,64,4.64,29.98,3.65,0,0
