band,wavelength,mean,stdev,stdev/mean,median,min,max
1,398.08,0.011022510055984,0.02192321595735,1.9889495084151116,0.009383434895426,2.056e-12,1.53810977935791
2,400.292,0.010393048525371,0.007151650459121,0.6881186440785628,0.009547872468829,2.494e-12,0.210274368524551
3,402.503,0.009586643134317,0.005645530931699,0.5888954926766673,0.008957386482507,1.7052e-11,0.153016164898872
4,404.715,0.008086062591274,0.004109902609372,0.5082699475771019,0.007697775494307,1.139e-12,0.036494098603725
5,406.927,0.00815736765852,0.003991845428204,0.4893546049790583,0.007795449811965,2.399e-12,0.077106833457947
6,409.139,0.007455911350102,0.003695613402637,0.49566219729616856,0.007163708098233,6.55e-13,0.093102321028709
7,411.351,0.005530673859457,0.002551332883077,0.46130597245658034,0.005352075211704,2.72e-13,0.027232581749558
8,413.563,0.006498138728943,0.002967068803873,0.4566028716280776,0.006241588387638,6.649e-12,0.032327335327864
9,415.775,0.004223188946221,0.001825921668355,0.43235613930768446,0.0040866821073,4.27e-13,0.034222643822432
10,417.986,0.005768117216256,0.002485496559737,0.43090257471402416,0.00557433674112,1.922e-12,0.030465114861727
11,420.198,0.00508012727617,0.002134302095938,0.42012768182987115,0.004932339303195,1.525e-12,0.026049723848701
12,422.41,0.005752436032523,0.002336257617837,0.4061336109829499,0.005551266949624,1.284e-12,0.030131138861179
13,424.622,0.005114264482154,0.002070616977206,0.40487092218858184,0.004971060436219,1.019e-12,0.025528632104397
14,426.834,0.005267347584525,0.002085640476343,0.39595649287896373,0.005094978492707,2.09e-13,0.028011828660965
15,429.046,0.005190502480377,0.001964868556058,0.37855074021952617,0.00505448738113,3.151e-12,0.02759763225913
16,431.258,0.005820270876974,0.002251631587854,0.3868602742806773,0.005627100355923,1.812e-12,0.027087926864624
17,433.469,0.005801632491181,0.002232113091644,0.38473879464737065,0.005665882490575,1.61e-13,0.030733693391085
18,435.681,0.005759390436848,0.00222728019314,0.3867215146398281,0.005578276701272,1.0578e-11,0.029262892901897
19,437.893,0.005744547840996,0.002133723433627,0.37143453108696733,0.005592226982117,7.53e-13,0.026081873103976
20,440.105,0.006416845305989,0.002240007737426,0.3490823965064805,0.006229553837329,0.000165313365869,0.026531618088484
21,442.317,0.006219152362514,0.002174203894957,0.3495981073018945,0.006091974675655,8.982e-12,0.025861613452435
22,444.529,0.006882790234366,0.002356995117317,0.3424476174718278,0.006716410396621,1.8741e-11,0.025816772133112
23,446.741,0.006822142537843,0.002263183545848,0.3317408766078882,0.006689534056932,8.6e-14,0.025751570239663
24,448.952,0.007017582611533,0.002288307906873,0.32608207605740125,0.006867222487926,3.328e-11,0.026663834229112
25,451.164,0.006676830064194,0.002130973173488,0.3191594144226947,0.006542068440467,5.1031e-11,0.024062342941761
26,453.376,0.006931928433087,0.002164603588875,0.3122657150560102,0.006788630504161,0.000101371748315,0.025060176849365
27,455.588,0.00726005980742,0.002292901544033,0.31582405721914103,0.007088777609169,0.000154091001605,0.026202987879515
28,457.8,0.007400318536424,0.002279662284375,0.308049210740675,0.007235784083605,0.000198109235498,0.023860767483711
29,460.012,0.007618667484203,0.00236660125613,0.3106319131314042,0.007472379133105,4.6308e-11,0.024479867890477
30,462.224,0.007512313788176,0.002305963674283,0.3069578480484228,0.007356032729149,9.6900876088e-05,0.024599079042673
31,464.435,0.007148362142451,0.002213609998882,0.3096667397047972,0.006995105650276,3.4806e-11,0.022935274988413
32,466.647,0.007538482808415,0.002327684640698,0.30877362194149593,0.007372662425041,1.01961e-10,0.022308140993118
33,468.859,0.007354913373036,0.002275972727793,0.30944929088315176,0.007208122871816,0.000219782072236,0.023339388892055
34,471.071,0.007857217206187,0.002410048106251,0.30673049287135123,0.007679342292249,0.000218682558625,0.022999718785286
35,473.283,0.007755522911756,0.002421260236652,0.31219819272041577,0.007603825535625,4.372e-12,0.02351900935173
36,475.495,0.007642316488743,0.002312806406839,0.3026315921678622,0.007477082312107,0.000380135141313,0.022036986425519
37,477.707,0.007589222031767,0.002344737635763,0.30895625743302624,0.007420260459185,3.3717e-11,0.021809708327055
38,479.918,0.00765848101719,0.002323362314078,0.3033711657524579,0.007479416206479,0.000914942007512,0.022314758971334
39,482.13,0.007261982195071,0.002257393502115,0.3108508725960777,0.007099503651261,0.001100746681914,0.021818516775966
40,484.342,0.007818826640308,0.002365338253636,0.3025183141217241,0.007643359247595,0.000672165537253,0.020751914009452
41,486.554,0.007768400045428,0.0023926013419,0.3079915205072552,0.007596867159009,0.000601635256317,0.022047666832805
42,488.766,0.008036588212672,0.002468449057519,0.30715136724646136,0.007856549695134,0.000659190875012,0.021916966885328
43,490.978,0.007591997784228,0.002363354969375,0.3112955293907953,0.007409919518977,0.000104908329376,0.022772647440434
44,493.189,0.007476013470365,0.002247824903154,0.30067159617413786,0.007315615192056,0.000927690998651,0.020996509119868
45,495.401,0.007459030956612,0.002268451538744,0.30412148065066663,0.007292421534657,9.1851208708e-05,0.020151840522885
46,497.613,0.007690255661958,0.002229170055072,0.28986943387320824,0.007573126815259,0.001396996667609,0.020515412092209
47,499.825,0.007794844588766,0.00228709279208,0.2934109546425311,0.007685078307986,0.000977829797193,0.020811054855585
48,502.037,0.007895829012061,0.002255171121603,0.28561549625228605,0.007784683723003,0.001388510572724,0.020191630348563
49,504.249,0.007836390320176,0.002286746392209,0.29181119096651137,0.007704247254878,0.001179692568257,0.020630810409784
50,506.461,0.008071192981708,0.002306218270867,0.28573449750162777,0.007924465462565,0.000756630382966,0.020567566156387
51,508.672,0.007850134741733,0.002272061999642,0.28942968170510897,0.007721738424152,0.001475830911659,0.020571280270815
52,510.884,0.0081950730484,0.002299398301773,0.2805830147202816,0.008051533252001,0.00073715421604,0.0199003983289
53,513.096,0.008204129705596,0.002351645552302,0.2866416837239852,0.008042199537158,0.001113918493502,0.020532764494419
54,515.308,0.008728971871328,0.002426435104538,0.27797490246338136,0.00856267940253,0.002097512129694,0.021076533943415
55,517.52,0.008897292206048,0.002495946686691,0.2805287978509194,0.008733762428164,0.002492355648428,0.022426685318351
56,519.732,0.009361104437121,0.00257981773257,0.2755890343814411,0.009158949367702,0.00277462345548,0.022699588909745
57,521.944,0.009462774374995,0.002669879968309,0.2821455804086431,0.009245296008885,0.002373288851231,0.023997534066439
58,524.155,0.009630155498115,0.002596103895874,0.26958068292689147,0.009416894987226,0.002907652873546,0.023817021399736
59,526.367,0.009886085510006,0.002683406322021,0.2714326433151974,0.009667444974184,0.002819418674335,0.024953048676252
60,528.579,0.01024642386299,0.002688182347062,0.26235322518441706,0.009985242038965,0.003096667351201,0.025286208838224
61,530.791,0.010428419858665,0.002773546708307,0.26596039916847547,0.010128889232874,0.003154801437631,0.026032531633973
62,533.003,0.010821564180608,0.002828097947624,0.2613391096170633,0.010506051592529,0.003778881626204,0.02736228145659
63,535.215,0.011133545859254,0.002954991393097,0.2654133220856018,0.010786300525069,0.003460906678811,0.028175761923194
64,537.427,0.011672978654648,0.003054773269406,0.26169612399570663,0.011307644657791,0.00371693703346,0.029690755531192
65,539.638,0.011677326786325,0.003109704883062,0.26630280542492746,0.011296343058348,0.004104144871235,0.030306031927466
66,541.85,0.012023381005727,0.003162515803502,0.2630304905080879,0.011621971614659,0.003536664647982,0.030740384012461
67,544.062,0.011781034897023,0.003156569799027,0.2679365460350726,0.011396777816117,0.003482951084152,0.030148098245263
68,546.274,0.011710862582052,0.003102522630497,0.26492690941928637,0.011321232654154,0.003611421911046,0.029599623754621
69,548.486,0.01191612445654,0.003206091771069,0.2690549081425027,0.011502410285175,0.003631482133642,0.030724674463272
70,550.698,0.012032051762855,0.003202194079191,0.2661386555098375,0.011633936315775,0.003713217331097,0.030601730570197
71,552.91,0.012354947646989,0.003341928856915,0.270493162124362,0.011939523741603,0.003781081875786,0.032175838947296
72,555.121,0.012283195671055,0.003277878093624,0.26685873785664965,0.011880430392921,0.003438299056143,0.031337980180979
73,557.333,0.012442456807714,0.003375312040521,0.2712737598918884,0.012021795846522,0.003762500826269,0.032230861485004
74,559.545,0.012699758787994,0.003397687463856,0.2675395273702426,0.012300634756684,0.003794048679993,0.032496064901352
75,561.757,0.012413394593534,0.0033623940058,0.270868212596048,0.012010402977467,0.003694398561493,0.032337728887796
76,563.969,0.012332405201059,0.00328853373709,0.26665793764282164,0.011954698711634,0.003580085700378,0.0313122831285
77,566.181,0.012148832633201,0.00329645422563,0.27133917514192,0.01177491247654,0.003235050709918,0.031646721065044
78,568.393,0.012070821090394,0.003234146429185,0.26793093899459286,0.011720945127308,0.003872746601701,0.030983088538051
79,570.604,0.011908009396282,0.003238023418694,0.27191979036437425,0.011575032956898,0.003423587186262,0.031472355127335
80,572.816,0.011855646265246,0.003199564134098,0.26987682177034067,0.011527311988175,0.003459795145318,0.030458647757769
81,575.028,0.011579534687744,0.003192406578528,0.2756938568444295,0.011259570717812,0.002946729073301,0.030543336644769
82,577.24,0.011679606250396,0.003195056604492,0.2735585888765446,0.011356211267412,0.003344825468957,0.02911982126534
83,579.452,0.011501120653407,0.003224160296214,0.28033444682270164,0.011189209297299,0.002799659734592,0.029251996427774
84,581.664,0.011401740018909,0.003204270381685,0.28103345422461296,0.011082446202636,0.003378859488294,0.028371503576636
85,583.876,0.01118355943503,0.003237037072437,0.2894460472305181,0.010863621719182,0.003232960123569,0.028065407648683
86,586.087,0.011281380802111,0.003270861528088,0.28993450229744466,0.010944347828627,0.003440888365731,0.027940083295107
87,588.299,0.010969148021621,0.003280572865261,0.29907271365057236,0.01061996165663,0.002709844149649,0.027478823438287
88,590.511,0.011033151270566,0.003318610131673,0.30078533777800326,0.010658325627446,0.00301606557332,0.029305120930076
89,592.723,0.010832531684785,0.003382272651034,0.31223288788387515,0.010419242084026,0.00289906305261,0.028995273634791
90,594.935,0.010947023071273,0.003419317938573,0.31235139601979267,0.010533650405705,0.003098122775555,0.029774136841297
91,597.147,0.010930605106091,0.003542861993048,0.3241231348732712,0.010471480898559,0.003285594051704,0.031492855399847
92,599.359,0.011053473718539,0.003574272567782,0.32336192755289167,0.010560270398855,0.003151392098516,0.031869929283857
93,601.57,0.011158533377389,0.00374502253584,0.3356196024316865,0.010616287589073,0.002842932473868,0.033546928316355
94,603.782,0.011307464805756,0.003778838646087,0.3341897331542791,0.010746828280389,0.002766606397927,0.033863261342049
95,605.994,0.011092283201951,0.003834540802925,0.34569445560590717,0.010495119728148,0.002716486807913,0.034510493278503
96,608.206,0.011292911868225,0.003883592868755,0.3438965002181866,0.01067391782999,0.003124215872958,0.034957885742188
97,610.418,0.010828665872544,0.00385685181827,0.35617054433723166,0.010192166082561,0.002437704708427,0.034431010484695
98,612.63,0.01115753529932,0.003965158435559,0.3553794210985519,0.010490789078176,0.002817723201588,0.035706333816051
99,614.842,0.010805584611698,0.00396800962977,0.3672184127339375,0.010107731446624,0.002576669678092,0.036305110901594
100,617.053,0.010768367570567,0.003931335289749,0.36508182544719714,0.01007642224431,0.003067250596359,0.035783819854259
101,619.265,0.010652069977183,0.00402487531975,0.3778491249467365,0.009923964738846,0.002379095414653,0.036233939230442
