band,wavelength,mean,stdev,stdev/mean,median,min,max
1,398.08,0.008572198546211,0.007585630627295,0.8849107479723421,0.007367265643552,1.878e-12,0.228414192795753
2,400.292,0.008573941937123,0.005273460999451,0.6150567659687836,0.007888276595622,4.972e-12,0.032589022070169
3,402.503,0.007301001633816,0.004696074548702,0.643209628518808,0.00657287472859,1.0767e-11,0.031284913420677
4,404.715,0.005885582133017,0.00348373805468,0.591910532543058,0.005388435674831,4.049e-12,0.025758065283298
5,406.927,0.00577751409095,0.003355736422902,0.5808270425784828,0.0053127463907,7.714e-12,0.027718026190996
6,409.139,0.005432966797448,0.002815864706749,0.5182922722943349,0.005134773440659,7.103e-12,0.030293885618448
7,411.351,0.003803471306482,0.002135219561607,0.5613870565996092,0.003541874699295,8.35e-13,0.019794655963778
8,413.563,0.004697574059307,0.002368549242245,0.5042068975053935,0.004475140944123,1.231e-12,0.024829985573888
9,415.775,0.002855559329855,0.001498564117826,0.5247882970451517,0.002689933637157,3.892e-12,0.012915899977088
10,417.986,0.004203823313943,0.001903430572511,0.45278557883196724,0.00399552192539,1.003e-12,0.020732516422868
11,420.198,0.003460904300848,0.001732057862993,0.500463957517868,0.003262967336923,3.375e-12,0.019505932927132
12,422.41,0.004080500366195,0.001792599214129,0.4393086762054551,0.003918634261936,1.996e-12,0.022460170090199
13,424.622,0.00344851739996,0.001663973944799,0.4825186454962648,0.003262117272243,6.19e-13,0.018286066129804
14,426.834,0.003826974819865,0.001582745440369,0.413576131244269,0.003679973538965,1.4729e-11,0.018583361059427
15,429.046,0.003567676446889,0.001563281440403,0.4381791520826322,0.003393169725314,5.34e-12,0.017978955060244
16,431.258,0.004056558059096,0.001587125172364,0.39124921897893145,0.003900286275893,1.189e-12,0.020269839093089
17,433.469,0.004010506845532,0.0016507155405,0.41159773666488536,0.003824486862868,6.24e-13,0.019847236573696
18,435.681,0.004322299762954,0.001664752258785,0.385154281304926,0.004149858606979,8.239e-12,0.020657258108258
19,437.893,0.004011039482366,0.001655064105421,0.4126272286017798,0.003864335943945,5.009e-12,0.015707386657596
20,440.105,0.004766512879733,0.00163266477907,0.34252813750111066,0.004619299434125,7.716e-12,0.016752175986767
21,442.317,0.004340792565505,0.001644089434392,0.3787532828583182,0.004178462550044,2.274e-12,0.016904311254621
22,444.529,0.005045034346117,0.00157011696676,0.3112202730529413,0.004886056296527,0.000148711915244,0.017297048121691
23,446.741,0.004579723635491,0.00166744456963,0.3640928366742441,0.004463572055101,1.6771e-11,0.017296716570854
24,448.952,0.005084820464236,0.00158392738225,0.3115011421525159,0.004980971105397,4.4464e-11,0.015612153336406
25,451.164,0.004945685733283,0.001484445343336,0.3001495492012609,0.004776780493557,0.000156216643518,0.016092849895358
26,453.376,0.005171937859758,0.001507605915619,0.2914972987880296,0.005015244707465,1.44336e-10,0.015899145975709
27,455.588,0.005350834015063,0.001512094824666,0.28259049344631876,0.005167741328478,0.000365276559023,0.016316695138812
28,457.8,0.00539907535998,0.001464700123924,0.2712872161001705,0.00522064557299,0.001106593641452,0.015659008175135
29,460.012,0.00551745636054,0.001563314295732,0.2833396756723956,0.005326456390321,0.000555231119506,0.016159953549504
30,462.224,0.005575423060624,0.001519885574144,0.27260452841293353,0.005414191633463,9.0270659712e-05,0.015717571601272
31,464.435,0.005359704978686,0.001490418069165,0.2780783783980578,0.005164187867194,0.000566646805964,0.014950276352465
32,466.647,0.005734975992037,0.00151461825181,0.26410193415160654,0.005563866347075,0.000544318812899,0.0165800973773
33,468.859,0.005482568989115,0.001499210065665,0.27345028738197485,0.005287916399539,2.841e-11,0.015768567100167
34,471.071,0.005803552579522,0.001544008965197,0.26604548576764503,0.005605555139482,0.001156992628239,0.016062503680587
35,473.283,0.005676789675018,0.001539957754525,0.2712726457529215,0.00548660568893,0.001072330051102,0.014857149682939
36,475.495,0.005708256103583,0.001473482303797,0.2581317791386609,0.00552803138271,0.001111694728024,0.014524673111737
37,477.707,0.005695878850657,0.001516268022897,0.2662044019286161,0.005499058868736,0.000936010095757,0.015768438577652
38,479.918,0.005908958032843,0.001476684188758,0.24990602074855442,0.005722449626774,0.000925303436816,0.014486912637949
39,482.13,0.005515995070022,0.001467534429291,0.26605071445162604,0.005323172081262,0.001115015009418,0.014528517611325
40,484.342,0.005890468461881,0.001496833148565,0.2541110538578484,0.005691281054169,0.000683330930769,0.015125837177038
41,486.554,0.005711083656085,0.001513668958747,0.2650405859725462,0.005514626391232,0.000875759404153,0.01525885425508
42,488.766,0.005999056521493,0.001521334115032,0.2535955628325005,0.005786418914795,0.001473552663811,0.015017177909613
43,490.978,0.005665629539716,0.001495636927718,0.2639842434514296,0.005466206464916,0.000647771172225,0.014975685626268
44,493.189,0.00570514725765,0.001444737023339,0.2532339584051507,0.005506880115718,1.645e-12,0.01499973796308
45,495.401,0.005752708951529,0.001472922063423,0.2560397329038374,0.005555430427194,0.001288900151849,0.014672370627522
46,497.613,0.005975911551274,0.001446250208063,0.24201332226121638,0.005779435392469,0.001607620972209,0.014317601919174
47,499.825,0.005953694099941,0.001482308908812,0.24897297105450705,0.005741856992245,0.001147599425167,0.014987193979323
48,502.037,0.005991861957204,0.001453899616518,0.24264571295237874,0.005789960734546,0.001448678201996,0.014065706171095
49,504.249,0.005907767086522,0.001475971995846,0.24983584732263525,0.005713080056012,0.001517236349173,0.015162187628448
50,506.461,0.006201310803372,0.001473032882954,0.23753572908376558,0.005989478435367,0.002190791303292,0.014447895810008
