band,wavelength,mean,stdev,stdev/mean,median,min,max
1,398.08,0.036646672740854,0.022504891452304,0.6141046313111904,0.034231137484312,3.36e-12,0.306409925222397
2,400.292,0.036651106520028,0.028677523049301,0.7824463098714404,0.032209705561399,2.0998e-11,0.806646823883057
3,402.503,0.035019038098163,0.020786953587236,0.5935900788870162,0.032008904963732,1.6867e-11,0.211396798491478
4,404.715,0.02856789781517,0.015801239537402,0.5531117354043213,0.027373997494578,5.054e-12,0.255807667970657
5,406.927,0.026874544645812,0.016209768201073,0.6031643852837913,0.025597300380468,1.2438e-11,0.526216745376587
6,409.139,0.02299374969975,0.01211616513655,0.5269329837352162,0.021904299035668,2.138e-12,0.099773123860359
7,411.351,0.022717110454853,0.010921657705237,0.480767909587015,0.022039901465178,3.116e-12,0.08771175891161
8,413.563,0.021874338572567,0.010248211380993,0.468503829132711,0.021330330520868,1.423e-12,0.09216883033514
9,415.775,0.017388751475319,0.008078048642623,0.4645559892030608,0.017031010240316,2.653e-12,0.059969577938318
10,417.986,0.016323294804242,0.007365249974594,0.4512109879115804,0.01612257398665,1.2435e-11,0.058361105620861
11,420.198,0.016782819272709,0.007171943406045,0.42733841612103235,0.016624547541142,1.885e-12,0.059179674834013
12,422.41,0.017290529234626,0.008819960882738,0.5101035811602084,0.016821748577058,1.2131e-11,0.235210433602333
13,424.622,0.015363716019426,0.006434425029519,0.4188065583471644,0.015218496322632,1.6231e-11,0.052002534270287
14,426.834,0.014760950330418,0.006051832736056,0.40998937064268437,0.0146020418033,1.7095e-11,0.046531748026609
15,429.046,0.014607052752385,0.005678536232154,0.38875304473907807,0.014459412544966,3.758e-12,0.047929622232914
16,431.258,0.016436207002502,0.00648567327298,0.3945967139494361,0.016350812278688,6.263e-12,0.049431789666414
17,433.469,0.016711345905655,0.006944147437955,0.41553489929288995,0.016511272639036,3.099e-12,0.053221959620714
18,435.681,0.019174955941342,0.007515276965144,0.3919319026408165,0.018967755138874,1.519e-12,0.067846991121769
19,437.893,0.019300292770641,0.007337708071339,0.38018636082561874,0.019093239679933,1.4675e-11,0.065847225487232
20,440.105,0.019692512856224,0.007170582666246,0.364127357366669,0.019624205306172,5.323e-12,0.063244201242924
21,442.317,0.019386568509609,0.007199110550254,0.3713452716856902,0.019251439720392,1.0462e-11,0.062650419771671
22,444.529,0.020074354124165,0.006953056434205,0.34636513788680684,0.020050624385476,4.0913e-11,0.060784418135881
23,446.741,0.020717976545261,0.006832879627496,0.32980439052861765,0.02041563205421,4.05185e-10,0.0601412281394
24,448.952,0.021556474936778,0.006587682440035,0.3056010994077516,0.021344091743231,7.3438e-11,0.062920920550823
25,451.164,0.02178721850287,0.006984203714813,0.32056426633317053,0.021712251007557,3.38731e-10,0.061828952282667
26,453.376,0.022577159722945,0.00672886188289,0.29803845857774164,0.022414629347622,0.000686749932356,0.064264714717865
27,455.588,0.022031279450244,0.006627917142037,0.30084122699299676,0.021925973705947,0.000619215657935,0.064534932374954
28,457.8,0.022587071258898,0.0065917568112,0.2918376063741876,0.022418281063437,1.33105e-10,0.059834860265255
29,460.012,0.022223304645294,0.006637528905643,0.2986742526183459,0.022071544080973,0.000480632996187,0.05717134848237
30,462.224,0.024524061611218,0.007000662396356,0.2854609692039633,0.024392670020461,0.000452055013739,0.063980385661125
31,464.435,0.023863509245388,0.006933417363083,0.29054475147753017,0.023694051429629,4.3284e-11,0.06289616972208
32,466.647,0.023991716792929,0.006775433768564,0.2824072085812926,0.023808563128114,1.93961e-10,0.058751121163368
33,468.859,0.023205842006083,0.006729148570819,0.2899764882073692,0.02306813839823,2.3283e-10,0.062200456857681
34,471.071,0.024344812769757,0.006749652429601,0.27725218071859387,0.024041727185249,0.000954516697675,0.065987966954708
35,473.283,0.023139556496987,0.006669819433394,0.2882431836695953,0.023009192198515,0.000980843324214,0.061095479875803
36,475.495,0.024712209231185,0.006867740659002,0.27790880996327166,0.024423794820905,0.001304842997342,0.061130154877901
37,477.707,0.024242841021093,0.007044361815753,0.29057492930073264,0.023984249681234,0.000661247118842,0.062713667750359
38,479.918,0.025842516785186,0.007073110787724,0.27370053956117,0.025575522333384,0.000417896168074,0.06668334454298
39,482.13,0.02484157492757,0.006978731108193,0.2809294953536852,0.024619044736028,0.002774201100692,0.067164495587349
40,484.342,0.025051784399979,0.006796223413821,0.2712869991738671,0.024764813482761,0.003922560717911,0.069968104362488
41,486.554,0.023772486844174,0.0065607685314,0.2759815821712346,0.023545208387077,0.000908191257622,0.060766164213419
42,488.766,0.024890365987556,0.006682249866327,0.2684673206359363,0.024531533010304,0.003654551459476,0.062263283878565
43,490.978,0.024556759605892,0.00718265346062,0.29249190756001203,0.024401415139437,1.39201e-10,0.064582303166389
44,493.189,0.026695153923618,0.007184779706201,0.2691417223799714,0.026394003070891,0.004553403705359,0.068678967654705
45,495.401,0.026849236702771,0.007448500347271,0.2774194450936578,0.026541136205196,0.00351918139495,0.066930264234543
46,497.613,0.027876949913234,0.007328160977746,0.2628752786999523,0.02755449898541,0.005985758733004,0.066736482083797
47,499.825,0.027900761815325,0.007484238009539,0.26824493392249044,0.027551772072911,0.00329981953837,0.069482006132603
48,502.037,0.029157360591208,0.007489073138295,0.25685017389925296,0.028701402246952,0.009073581546545,0.072820425033569
49,504.249,0.029585937327849,0.00789645904427,0.26689906615996,0.029167937114835,0.003618217306212,0.06972174346447
50,506.461,0.032122449546625,0.008354004158198,0.26006746920319246,0.031768105924129,0.003563115606084,0.079690001904964
51,508.672,0.034149164341071,0.008945416848179,0.261951266474196,0.033722225576639,0.006259953137487,0.078601077198982
