band,wavelength,mean,stdev,stdev/mean,Unnamed: 5,Unnamed: 6,Unnamed: 7
1,398.08,0.089151438,0.065969851,0.73997517,,,
2,400.292,0.053723023,0.040609843,0.755911345,,,average stdev/mean
3,402.503,0.040794977,0.039077347,0.957896039,,,0.346389339
4,404.715,0.048467932,0.02960592,0.610835229,,,
5,406.927,0.047991617,0.032145933,0.669823912,,,
6,409.139,0.045072947,0.027836434,0.617586291,,,NDVI
7,411.351,0.032009365,0.017759824,0.554832116,,,0.81190661
8,413.563,0.035867862,0.021485942,0.599030453,,,
9,415.775,0.028752702,0.015531905,0.540189388,,,
10,417.986,0.029460713,0.015686085,0.532440763,,,
11,420.198,0.027423469,0.014117958,0.514812995,,,
12,422.41,0.029462867,0.015305233,0.51947534,,,
13,424.622,0.027595344,0.021506442,0.779350379,,,
14,426.834,0.030266738,0.014979267,0.49490852,,,
15,429.046,0.027600386,0.01338362,0.484906981,,,
16,431.258,0.028986298,0.014111633,0.486838071,,,
17,433.469,0.0274703,0.01304042,0.474709771,,,
18,435.681,0.029783898,0.014259212,0.478755723,,,
19,437.893,0.029964966,0.014486063,0.483433328,,,
20,440.105,0.032614073,0.014692128,0.450484294,,,
21,442.317,0.032990186,0.014515134,0.439983375,,,
22,444.529,0.034110023,0.014826707,0.434673028,,,
23,446.741,0.032899513,0.014123501,0.429292083,,,
24,448.952,0.03340532,0.014085576,0.421656673,,,
25,451.164,0.033045567,0.013702662,0.41465962,,,
26,453.376,0.035637644,0.014491704,0.406640351,,,
27,455.588,0.033062133,0.013392847,0.405081159,,,
28,457.8,0.035960758,0.014299105,0.397630783,,,
29,460.012,0.035558108,0.014155031,0.398081674,,,
30,462.224,0.034819652,0.013692288,0.39323449,,,
31,464.435,0.034135251,0.013400511,0.392571037,,,
32,466.647,0.034029997,0.0132228,0.388563078,,,
33,468.859,0.032356791,0.012612931,0.389807837,,,
34,471.071,0.036163614,0.013800819,0.381621674,,,
35,473.283,0.034066373,0.013191769,0.387237272,,,
36,475.495,0.035776484,0.013559729,0.379012335,,,
37,477.707,0.033510883,0.012865295,0.383913944,,,
38,479.918,0.033734757,0.01259017,0.373210637,,,
39,482.13,0.033162433,0.01258539,0.379507435,,,
40,484.342,0.034668175,0.01280677,0.369409995,,,
41,486.554,0.035607678,0.013390041,0.376043648,,,
42,488.766,0.03691804,0.013713404,0.371455364,,,
43,490.978,0.034764513,0.01312224,0.377460774,,,
44,493.189,0.035378965,0.012966964,0.366516209,,,
45,495.401,0.033413116,0.012500295,0.37411343,,,
46,497.613,0.035987076,0.013002514,0.361310651,,,
47,499.825,0.037599358,0.013890975,0.369447135,,,
48,502.037,0.037932328,0.013579625,0.35799608,,,
49,504.249,0.037694332,0.013734508,0.36436534,,,
50,506.461,0.039154856,0.013832732,0.353282673,,,
51,508.672,0.038823226,0.014022052,0.361176898,,,
52,510.884,0.040100647,0.013913655,0.346968349,,,
53,513.096,0.040058394,0.014161388,0.353518601,,,
54,515.308,0.043891877,0.014926073,0.340064581,,,
55,517.52,0.046281728,0.015924279,0.344072695,,,
56,519.732,0.049171983,0.016415598,0.33384048,,,
57,521.944,0.050448339,0.017197288,0.340889084,,,
58,524.155,0.056263834,0.018299642,0.325246989,,,
59,526.367,0.05722227,0.018808872,0.328698455,,,
60,528.579,0.058064304,0.018339743,0.315852286,,,
61,530.791,0.061532416,0.019643732,0.319242004,,,
62,533.003,0.065396445,0.020306595,0.310515273,,,
63,535.215,0.068409985,0.021579374,0.315441873,,,
64,537.427,0.073069973,0.022674011,0.310305457,,,
65,539.638,0.072085713,0.022779918,0.316011546,,,
66,541.85,0.073918655,0.023046116,0.311776723,,,
67,544.062,0.074313933,0.023691683,0.318805394,,,
68,546.274,0.073938384,0.023174814,0.313434145,,,
69,548.486,0.074702542,0.023825558,0.31893905,,,
70,550.698,0.077308276,0.024296225,0.31427715,,,
71,552.91,0.077625233,0.024839898,0.319997729,,,
72,555.121,0.0798319,0.025206891,0.315749602,,,
73,557.333,0.080195775,0.025768782,0.321323436,,,
74,559.545,0.082513434,0.026195272,0.317466748,,,
75,561.757,0.08089335,0.026182525,0.323667209,,,
76,563.969,0.080268859,0.025649441,0.319544104,,,
77,566.181,0.078289194,0.025507518,0.325811481,,,
78,568.393,0.076756367,0.024669725,0.321402973,,,
79,570.604,0.074658263,0.024432835,0.327262301,,,
80,572.816,0.073888075,0.023876682,0.323146625,,,
81,575.028,0.07140665,0.023426331,0.328069317,,,
82,577.24,0.070822519,0.022885121,0.323133397,,,
83,579.452,0.069829576,0.023025055,0.329732135,,,
84,581.664,0.06855747,0.022327243,0.325671928,,,
85,583.876,0.065691632,0.021842263,0.332496889,,,
86,586.087,0.066748815,0.021872251,0.327679994,,,
87,588.299,0.062958536,0.021038675,0.33416716,,,
88,590.511,0.062063396,0.02054164,0.330978348,,,
89,592.723,0.06157425,0.020777736,0.337441973,,,
90,594.935,0.063395791,0.021092487,0.332711152,,,
91,597.147,0.06175272,0.020957047,0.339370428,,,
92,599.359,0.062086776,0.020801337,0.335036517,,,
93,601.57,0.061062872,0.020869153,0.341765016,,,
94,603.782,0.062878105,0.021177466,0.336801917,,,
95,605.994,0.061085741,0.021010166,0.343945513,,,
96,608.206,0.060974257,0.020702086,0.339521736,,,
97,610.418,0.05986245,0.020754904,0.346709894,,,
98,612.63,0.058562097,0.020077646,0.342843702,,,
99,614.842,0.057124326,0.020041668,0.350842969,,,
100,617.053,0.055494016,0.01921009,0.346165063,,,
101,619.265,0.054410574,0.019356996,0.355757981,,,
102,621.477,0.054830774,0.019181215,0.34982572,,,
103,623.689,0.055036666,0.019744349,0.358749009,,,
104,625.901,0.05385762,0.019080639,0.354279283,,,
105,628.113,0.053299354,0.019336223,0.362785323,,,
106,630.325,0.054156371,0.019318377,0.356714762,,,
107,632.536,0.052944151,0.019363291,0.365730496,,,
108,634.748,0.053425001,0.019234303,0.360024386,,,
109,636.96,0.052130191,0.019185214,0.368025011,,,
110,639.172,0.052096038,0.018841073,0.361660382,,,
111,641.384,0.051434396,0.019060509,0.370579029,,,
112,643.596,0.05092805,0.018654223,0.366285823,,,
113,645.808,0.049038115,0.018444763,0.376131159,,,
114,648.019,0.049239283,0.018435593,0.374408235,,,
115,650.231,0.04694577,0.01809379,0.385418965,,,
116,652.443,0.047723409,0.018217495,0.381730794,,,
117,654.655,0.045599834,0.017885775,0.392233334,,,
118,656.867,0.045354329,0.017550907,0.38697313,,,
119,659.079,0.045342394,0.018033855,0.397726132,,,
120,661.291,0.045177403,0.017799671,0.393994999,,,
121,663.502,0.042960682,0.017473685,0.40673668,,,
122,665.714,0.043660384,0.017485574,0.40049062,,,
123,667.926,0.041537784,0.017163988,0.413213856,,,
124,670.138,0.040907597,0.016693423,0.408076348,,,
125,672.35,0.03944877,0.016581812,0.420337881,,,
126,674.562,0.040549249,0.016788119,0.414018003,,,
127,676.774,0.039507067,0.016754751,0.424095031,,,
128,678.985,0.039688405,0.016555734,0.417142833,,,
129,681.197,0.039930656,0.017015406,0.426123866,,,
130,683.409,0.040508438,0.016876261,0.416611001,,,
131,685.621,0.040935764,0.017433886,0.425883979,,,
132,687.833,0.04251141,0.017491009,0.411442678,,,
133,690.045,0.043578107,0.01819843,0.417604882,,,
134,692.257,0.048871198,0.019439941,0.397779092,,,
135,694.468,0.052238878,0.020748278,0.397180778,,,
136,696.68,0.0591684,0.022232274,0.37574574,,,
137,698.892,0.067434834,0.025289732,0.375024761,,,
138,701.104,0.077463986,0.027812163,0.359033464,,,
139,703.316,0.089330794,0.032182695,0.360264292,,,
140,705.528,0.10244704,0.035756797,0.349027136,,,
141,707.74,0.110917912,0.038981041,0.351440447,,,
142,709.951,0.126527725,0.043338396,0.342520945,,,
143,712.163,0.143502784,0.049558986,0.345352085,,,
144,714.375,0.154357745,0.05192259,0.336378261,,,
145,716.587,0.168608497,0.057305561,0.339873507,,,
146,718.799,0.187146818,0.061858223,0.330533125,,,
147,721.011,0.201334095,0.067187926,0.333713603,,,
148,723.223,0.221770836,0.071788219,0.323704507,,,
149,725.434,0.232410274,0.076151239,0.32765866,,,
150,727.646,0.249670732,0.079073388,0.316710682,,,
151,729.858,0.260504018,0.083850546,0.321878129,,,
152,732.07,0.277155688,0.086036622,0.310427048,,,
153,734.282,0.293620043,0.092736478,0.31583838,,,
154,736.494,0.309528382,0.094277305,0.304583715,,,
155,738.706,0.320218262,0.099299916,0.310100729,,,
156,740.917,0.323226941,0.096838037,0.299597665,,,
157,743.129,0.344771166,0.105442289,0.305832679,,,
158,745.341,0.349676939,0.103590171,0.29624536,,,
159,747.553,0.364528306,0.110225202,0.302377621,,,
160,749.765,0.360533517,0.105958412,0.293893374,,,
161,751.977,0.37047417,0.111284277,0.300383363,,,
162,754.189,0.375297364,0.109775431,0.292502536,,,
163,756.4,0.378652316,0.113256491,0.299104182,,,
164,758.612,0.400942056,0.116712213,0.291094963,,,
165,760.824,0.397001187,0.118934836,0.299583075,,,
166,763.036,0.400970873,0.116856505,0.291433899,,,
167,765.248,0.389856083,0.116938601,0.299953255,,,
168,767.46,0.37549856,0.109680901,0.292094065,,,
169,769.672,0.379288345,0.113217249,0.29849915,,,
170,771.883,0.393231839,0.113825949,0.289462699,,,
171,774.095,0.393667234,0.116901358,0.296954757,,,
172,776.307,0.3977461,0.114989896,0.289103766,,,
173,778.519,0.391207318,0.116367182,0.297456558,,,
174,780.731,0.403943027,0.116522971,0.288463875,,,
