band,wavelength,mean,stdev,stdev/mean
1,398.08,0.084267423,0.05879998,0.697778309
2,400.292,0.05223929,0.042134576,0.806568696
3,402.503,0.04101565,0.045371705,1.106204709
4,404.715,0.049337958,0.028268367,0.572953727
5,406.927,0.049276802,0.037751627,0.766113566
6,409.139,0.047421854,0.027321168,0.576130325
7,411.351,0.03268374,0.016256209,0.497379082
8,413.563,0.036941835,0.018515428,0.50120488
9,415.775,0.030171669,0.01385024,0.459047848
10,417.986,0.031042301,0.01456052,0.46905413
11,420.198,0.029124428,0.012544091,0.430706866
12,422.41,0.031429775,0.013906314,0.442456698
13,424.622,0.028982742,0.012020979,0.414763356
14,426.834,0.032710311,0.013432963,0.410664492
15,429.046,0.029933834,0.011543975,0.385649736
16,431.258,0.031057281,0.012684374,0.408418693
17,433.469,0.029897072,0.011685642,0.390862411
18,435.681,0.033187271,0.012919877,0.389302178
19,437.893,0.034451084,0.012465466,0.361830889
20,440.105,0.036795957,0.013239426,0.359806557
21,442.317,0.038484903,0.013398317,0.348144743
22,444.529,0.03953332,0.013707179,0.346724714
23,446.741,0.038805866,0.012903201,0.332506463
24,448.952,0.039845174,0.012998436,0.326223606
25,451.164,0.039344644,0.012816743,0.325755726
26,453.376,0.042997022,0.013773125,0.320327415
27,455.588,0.040279525,0.012947396,0.321438651
28,457.8,0.043964937,0.013735453,0.312418346
29,460.012,0.044027165,0.013910234,0.315946616
30,462.224,0.043828782,0.013450705,0.306892058
31,464.435,0.043159724,0.013436331,0.311316416
32,466.647,0.043475449,0.013217273,0.30401695
33,468.859,0.041575764,0.013010124,0.312925681
34,471.071,0.046544729,0.013975724,0.300264381
35,473.283,0.044260421,0.013636201,0.308090176
36,475.495,0.046859964,0.013968793,0.298096549
37,477.707,0.0442191,0.013605004,0.307672567
38,479.918,0.044536631,0.01314793,0.295216079
39,482.13,0.044054792,0.013291769,0.301709946
40,484.342,0.045861659,0.013496209,0.294280871
41,486.554,0.047029511,0.014365063,0.305447845
42,488.766,0.048949436,0.014567109,0.297595025
43,490.978,0.046458905,0.014253143,0.306790335
44,493.189,0.047355307,0.013841726,0.292295133
45,495.401,0.045068591,0.013398713,0.297296025
46,497.613,0.048303054,0.013830933,0.286336628
47,499.825,0.050058576,0.014660266,0.292862216
48,502.037,0.050135523,0.014275628,0.284740784
49,504.249,0.049841501,0.014521726,0.291358113
50,506.461,0.051811215,0.014774884,0.285167689
51,508.672,0.051232638,0.014744322,0.287791575
52,510.884,0.052334252,0.014693334,0.280759411
53,513.096,0.051596074,0.014785508,0.286562652
54,515.308,0.055352037,0.01537379,0.277745689
55,517.52,0.057320994,0.016266865,0.283785472
56,519.732,0.059518489,0.016392993,0.275426907
57,521.944,0.060183539,0.01703156,0.282993667
58,524.155,0.065367188,0.017623158,0.269602508
59,526.367,0.064647945,0.017405871,0.2692409
60,528.579,0.063733761,0.016460264,0.258266012
61,530.791,0.066101482,0.017121237,0.259014412
62,533.003,0.069280326,0.017666302,0.254997384
63,535.215,0.071061639,0.018452079,0.259663012
64,537.427,0.07527104,0.019094417,0.25367547
65,539.638,0.073665887,0.019001857,0.257946483
66,541.85,0.074954552,0.01901318,0.253662781
67,544.062,0.07487442,0.019342665,0.258334761
68,546.274,0.074301783,0.018819069,0.253278833
69,548.486,0.074561991,0.01926021,0.258311374
70,550.698,0.077148418,0.01964998,0.254703609
71,552.91,0.077005717,0.019940705,0.258950971
72,555.121,0.079337968,0.020178924,0.254341321
73,557.333,0.079707853,0.020628103,0.258796375
74,559.545,0.082192517,0.02104962,0.256101412
75,561.757,0.080889693,0.021153426,0.261509532
76,563.969,0.080858425,0.020834722,0.257669155
77,566.181,0.079385455,0.020894479,0.263202865
78,568.393,0.078608032,0.02045084,0.260162222
79,570.604,0.077284931,0.020593738,0.266465121
80,572.816,0.077749902,0.020381388,0.262140366
81,575.028,0.076137124,0.020340927,0.267161751
82,577.24,0.076602989,0.020124006,0.262705227
83,579.452,0.076163328,0.020483394,0.268940374
84,581.664,0.075812801,0.020161672,0.265940208
85,583.876,0.072999136,0.019793008,0.271140307
86,586.087,0.074863921,0.01995839,0.266595572
87,588.299,0.070866417,0.019349733,0.273045178
88,590.511,0.070260014,0.018864132,0.268490301
89,592.723,0.070085395,0.019206051,0.274037848
90,594.935,0.073086689,0.019707252,0.26964215
91,597.147,0.0711763,0.0195794,0.275083141
92,599.359,0.071904187,0.019464235,0.270696822
93,601.57,0.070709831,0.019527943,0.276170125
94,603.782,0.073057198,0.019859441,0.271834148
95,605.994,0.07111642,0.01977507,0.278066165
96,608.206,0.071410491,0.019444862,0.27229699
97,610.418,0.070249895,0.019535128,0.278080526
98,612.63,0.069304974,0.018891863,0.272590297
99,614.842,0.067843625,0.018931062,0.279039665
100,617.053,0.066547367,0.018247659,0.274205576
101,619.265,0.065842642,0.018498855,0.280955536
102,621.477,0.066994348,0.018474058,0.275755472
103,623.689,0.067207531,0.018922435,0.281552307
104,625.901,0.065919168,0.018193267,0.275993572
105,628.113,0.065146907,0.018445694,0.283139974
106,630.325,0.066451324,0.018391834,0.276771525
107,632.536,0.064870043,0.018370321,0.283186503
108,634.748,0.06574125,0.018178117,0.27651006
109,636.96,0.064227656,0.018165842,0.282835198
110,639.172,0.064815462,0.017990156,0.277559641
111,641.384,0.064161455,0.018137633,0.28268737
112,643.596,0.06443847,0.017980412,0.279032259
113,645.808,0.062577153,0.017871215,0.285586899
114,648.019,0.063631823,0.017872901,0.280879917
115,650.231,0.060797125,0.017569118,0.28897943
116,652.443,0.062487131,0.017762559,0.284259468
117,654.655,0.05972223,0.017322472,0.290050655
118,656.867,0.059585144,0.017008972,0.285456582
119,659.079,0.059495397,0.017481948,0.293836986
120,661.291,0.059809142,0.017111385,0.28609983
121,663.502,0.056900483,0.016690603,0.293329719
122,665.714,0.058219035,0.016687603,0.286634836
123,667.926,0.055347318,0.016386272,0.296062619
124,670.138,0.054683865,0.015860333,0.290036796
