band,wavelength,mean,stdev,stdev/mean,Unnamed: 5,Unnamed: 6,Unnamed: 7
1,398.08,0.08899919,0.062755356,0.705122769,,,
2,400.292,0.055968331,0.041413888,0.73995217,,,average stdev/mean
3,402.503,0.044796831,0.037093425,0.828036829,,,0.257748363
4,404.715,0.055482578,0.033532195,0.604373416,,,
5,406.927,0.054938799,0.037091851,0.675148552,,,
6,409.139,0.053227205,0.031997646,0.601152106,,,NDVI
7,411.351,0.037914168,0.021093347,0.556344715,,,0.550179897
8,413.563,0.04326385,0.030518882,0.705412983,,,
9,415.775,0.034728813,0.018795573,0.541209786,,,
10,417.986,0.03618082,0.019711025,0.54479211,,,
11,420.198,0.033378365,0.017459156,0.523068037,,,
12,422.41,0.036278332,0.01923812,0.530292309,,,
13,424.622,0.034376503,0.038144867,1.109620327,,,
14,426.834,0.037387255,0.018689984,0.49990254,,,
15,429.046,0.03439742,0.016331527,0.47478931,,,
16,431.258,0.03613894,0.01745743,0.48306426,,,
17,433.469,0.03440958,0.015907672,0.462303587,,,
18,435.681,0.039226845,0.017641859,0.449739434,,,
19,437.893,0.039480588,0.016840677,0.42655589,,,
20,440.105,0.042326779,0.017384896,0.410730432,,,
21,442.317,0.043488303,0.0171312,0.39392661,,,
22,444.529,0.044919408,0.017393175,0.387208465,,,
23,446.741,0.043946482,0.0162114,0.368889598,,,
24,448.952,0.044829281,0.016060804,0.358265941,,,
25,451.164,0.044809554,0.015754151,0.351580188,,,
26,453.376,0.048116389,0.016531504,0.343573255,,,
27,455.588,0.04497285,0.015223071,0.338494679,,,
28,457.8,0.048522768,0.016217342,0.334221283,,,
29,460.012,0.048455501,0.016151249,0.333321276,,,
30,462.224,0.04765295,0.015604272,0.327456567,,,
31,464.435,0.047408029,0.015383969,0.324501337,,,
32,466.647,0.047116046,0.015168934,0.321948373,,,
33,468.859,0.045135054,0.014558239,0.322548403,,,
34,471.071,0.050037864,0.015929367,0.318346255,,,
35,473.283,0.047770127,0.015349594,0.321322026,,,
36,475.495,0.050111797,0.015729739,0.313892935,,,
37,477.707,0.0476206,0.015087743,0.316832269,,,
38,479.918,0.047682196,0.014686159,0.308000893,,,
39,482.13,0.047396026,0.014765867,0.311542293,,,
40,484.342,0.048897976,0.014918167,0.305087608,,,
41,486.554,0.050352222,0.015729009,0.31237963,,,
42,488.766,0.052060225,0.016040046,0.308105574,,,
43,490.978,0.049814455,0.015557971,0.31231841,,,
44,493.189,0.050576169,0.015076481,0.298094558,,,
45,495.401,0.048451836,0.014483604,0.298927862,,,
46,497.613,0.051286922,0.014703158,0.286684354,,,
47,499.825,0.053682193,0.015437772,0.287577154,,,
48,502.037,0.05346495,0.015059841,0.281676895,,,
49,504.249,0.053582481,0.015143728,0.28262462,,,
50,506.461,0.055272366,0.01511497,0.27346342,,,
51,508.672,0.055298185,0.01503873,0.271957033,,,
52,510.884,0.05645305,0.014718941,0.260728894,,,
53,513.096,0.056377731,0.01459305,0.258844221,,,
54,515.308,0.060506101,0.014971932,0.247445001,,,
55,517.52,0.063128394,0.015458561,0.244874933,,,
56,519.732,0.065619811,0.015450228,0.235450666,,,
57,521.944,0.066847553,0.015486775,0.23167303,,,
58,524.155,0.072387685,0.015753971,0.217633304,,,
59,526.367,0.072384172,0.015528644,0.214530939,,,
60,528.579,0.071532602,0.014725482,0.205856933,,,
61,530.791,0.074659382,0.015253388,0.204306384,,,
62,533.003,0.077925968,0.015500783,0.198916789,,,
63,535.215,0.080427014,0.016039516,0.199429465,,,
64,537.427,0.084757225,0.016628938,0.196194934,,,
65,539.638,0.083189028,0.016491759,0.198244403,,,
66,541.85,0.084644595,0.016566801,0.195721902,,,
67,544.062,0.085253199,0.016890749,0.198124516,,,
68,546.274,0.084575077,0.016499391,0.195085741,,,
69,548.486,0.085422184,0.016866637,0.197450316,,,
70,550.698,0.088130125,0.017150265,0.19460162,,,
71,552.91,0.088380656,0.017395616,0.196826056,,,
72,555.121,0.090563224,0.017660092,0.195002905,,,
73,557.333,0.090936856,0.017904833,0.196893024,,,
74,559.545,0.093441525,0.018304232,0.195889692,,,
75,561.757,0.092366191,0.018341632,0.198575167,,,
76,563.969,0.092257767,0.018224525,0.197539191,,,
77,566.181,0.091272613,0.018275042,0.20022481,,,
78,568.393,0.090270819,0.018003031,0.19943356,,,
79,570.604,0.089209617,0.018104875,0.202947572,,,
80,572.816,0.089204919,0.018032295,0.202144622,,,
81,575.028,0.087621214,0.018066808,0.206192166,,,
82,577.24,0.087665722,0.017998461,0.20530785,,,
83,579.452,0.087602102,0.01837562,0.209762322,,,
84,581.664,0.086694297,0.018104665,0.2088334,,,
85,583.876,0.084272715,0.017958494,0.213099741,,,
86,586.087,0.0861631,0.018216225,0.211415619,,,
87,588.299,0.082158144,0.017663222,0.214990514,,,
88,590.511,0.081275354,0.017396101,0.21403907,,,
89,592.723,0.081738909,0.017756732,0.2172372,,,
90,594.935,0.084457657,0.018196039,0.215445696,,,
91,597.147,0.082747869,0.018130982,0.219111163,,,
92,599.359,0.083212487,0.018038213,0.216772904,,,
93,601.57,0.082329437,0.018141012,0.220346606,,,
94,603.782,0.084636228,0.018471024,0.218240161,,,
95,605.994,0.082980246,0.018408104,0.221837187,,,
