band,wavelength,mean,stdev,stdev/mean
1,398.08,0.007697602,0.033473598,4.348574714
2,400.292,0.004432004,0.016122164,3.637669466
3,402.503,0.003030109,0.011069952,3.653317613
4,404.715,0.003531541,0.013769133,3.898902133
5,406.927,0.003071463,0.010843299,3.530336976
6,409.139,0.002695499,0.009260807,3.435656588
7,411.351,0.001808779,0.006421108,3.549968543
8,413.563,0.002108987,0.006864821,3.255032612
9,415.775,0.001565734,0.005449761,3.480643241
10,417.986,0.001620909,0.005103173,3.148340131
11,420.198,0.00123725,0.004105151,3.317962822
12,422.41,0.001592167,0.004921519,3.091082378
13,424.622,0.001234007,0.003957188,3.206780009
14,426.834,0.001565199,0.0046482,2.969718117
15,429.046,0.001246564,0.003831048,3.0732874
16,431.258,0.001465499,0.004253926,2.902716015
17,433.469,0.001183272,0.003688593,3.117281248
18,435.681,0.001526748,0.004379428,2.868467858
19,437.893,0.001251664,0.003653493,2.91890869
20,440.105,0.001650914,0.00452584,2.741415015
21,442.317,0.001453489,0.004211644,2.897610472
22,444.529,0.001739508,0.004646025,2.670884969
23,446.741,0.001428507,0.003969797,2.778982582
24,448.952,0.001751006,0.00452394,2.583622903
25,451.164,0.001489287,0.003981807,2.673633005
26,453.376,0.001842263,0.00471527,2.559499379
27,455.588,0.001586249,0.004120109,2.597391677
28,457.8,0.001936926,0.004832286,2.494822774
29,460.012,0.001765089,0.00449194,2.544881008
30,462.224,0.001903132,0.004778072,2.510636877
31,464.435,0.001764381,0.004409585,2.4992251
32,466.647,0.001863555,0.004615169,2.476539688
33,468.859,0.00164258,0.004153583,2.528694311
34,471.071,0.002021609,0.004969795,2.458336478
35,473.283,0.001732436,0.004362935,2.518382337
36,475.495,0.00204092,0.004982883,2.441488154
37,477.707,0.001757438,0.004382606,2.493747479
38,479.918,0.001968998,0.004757689,2.41629943
39,482.13,0.00179398,0.004388017,2.445967015
40,484.342,0.001991607,0.004833032,2.426699641
41,486.554,0.0019473,0.004753271,2.44095434
42,488.766,0.002166301,0.005221666,2.410406862
43,490.978,0.001893355,0.004644693,2.453155457
44,493.189,0.002086695,0.005026142,2.408661465
45,495.401,0.001871923,0.004577403,2.445295358
46,497.613,0.00216147,0.005160613,2.387547544
47,499.825,0.002141047,0.005188799,2.423487
48,502.037,0.002353181,0.00560429,2.381580389
49,504.249,0.002274104,0.005457846,2.399998515
50,506.461,0.002522354,0.00600622,2.381196121
51,508.672,0.0024249,0.00582203,2.400936231
52,510.884,0.002701032,0.006413392,2.374422698
53,513.096,0.002607831,0.006230274,2.389063027
54,515.308,0.003126606,0.007363281,2.355039125
55,517.52,0.00329486,0.007762726,2.356010621
56,519.732,0.003626827,0.008544491,2.355913279
57,521.944,0.003726019,0.008762939,2.35182385
58,524.155,0.004439323,0.010368705,2.33564992
59,526.367,0.004522859,0.010568315,2.33664484
60,528.579,0.00475958,0.011091575,2.33036828
61,530.791,0.005063004,0.011827215,2.336007568
62,533.003,0.005555218,0.01292787,2.327157964
63,535.215,0.005801815,0.013504946,2.327710669
64,537.427,0.006289476,0.014581257,2.318358187
65,539.638,0.006137097,0.014262822,2.324033804
66,541.85,0.006449483,0.014950365,2.318071897
67,544.062,0.00638641,0.014843547,2.324239545
68,546.274,0.006426092,0.014898217,2.318394686
69,548.486,0.006395737,0.014840117,2.320313829
70,550.698,0.00667484,0.01544635,2.314115233
71,552.91,0.006593636,0.015305356,2.321231553
72,555.121,0.006847891,0.01586375,2.31658901
73,557.333,0.006756981,0.015706064,2.324420301
74,559.545,0.00703119,0.016293013,2.317248254
75,561.757,0.006753983,0.015688437,2.322842192
76,563.969,0.006793251,0.015757878,2.319637435
77,566.181,0.006480285,0.015070168,2.325540955
78,568.393,0.006442005,0.014938269,2.318885091
79,570.604,0.006081942,0.014150476,2.326637937
80,572.816,0.006111961,0.014184815,2.320828731
81,575.028,0.005724322,0.013335128,2.329556149
82,577.24,0.005782362,0.013434374,2.32333671
83,579.452,0.005546261,0.012925944,2.330569018
84,581.664,0.005573517,0.012967121,2.326559982
85,583.876,0.005155183,0.012030837,2.333736226
86,586.087,0.005374423,0.012507328,2.327194811
87,588.299,0.004924418,0.01150726,2.336775513
88,590.511,0.004898046,0.011431206,2.333829843
89,592.723,0.004727324,0.011078713,2.343548401
90,594.935,0.004946721,0.011537441,2.332341327
91,597.147,0.004696032,0.010992455,2.340796181
92,599.359,0.004784133,0.01115815,2.332324375
93,601.57,0.004617141,0.010813445,2.342021629
94,603.782,0.004843354,0.011312515,2.335677859
95,605.994,0.004582486,0.010740997,2.343923489
96,608.206,0.004693378,0.010961664,2.335559452
97,610.418,0.004482523,0.010512139,2.345138584
98,612.63,0.004478821,0.010463971,2.336322661
99,614.842,0.004191758,0.009848218,2.349424453
100,617.053,0.004151785,0.009721145,2.341437257
101,619.265,0.00385293,0.00907583,2.355565913
102,621.477,0.004018632,0.009417105,2.343360886
103,623.689,0.003916481,0.009221127,2.354441977
104,625.901,0.003901763,0.009168126,2.349739522
105,628.113,0.003722306,0.008803717,2.365124402
106,630.325,0.00392804,0.009227566,2.349152625
107,632.536,0.003713497,0.008754469,2.357472962
108,634.748,0.003878007,0.009115599,2.350588294
109,636.96,0.003697669,0.008732438,2.361606421
110,639.172,0.003818063,0.008982222,2.352560005
111,641.384,0.003605003,0.008529005,2.365880252
112,643.596,0.003705593,0.008717902,2.352633628
113,645.808,0.003403044,0.008058575,2.368048714
114,648.019,0.003511262,0.008310972,2.366947568
115,650.231,0.003186421,0.007576518,2.377751625
116,652.443,0.003359491,0.00795102,2.366733407
117,654.655,0.003053459,0.007262026,2.378294464
118,656.867,0.003160887,0.007473292,2.364302068
119,659.079,0.002946596,0.007034913,2.38747132
120,661.291,0.003019941,0.007181905,2.378160789
121,663.502,0.002691215,0.006485612,2.409919849
122,665.714,0.002935467,0.006973689,2.375665738
123,667.926,0.00254779,0.006141023,2.410333876
