band,wavelength,mean,stdev,stdev/mean,median,min,max
1,398.08,0.021802919007112,0.015117592282497,0.6933746934328252,0.01906263269484,1.43277e-10,0.126827865839005
2,400.292,0.019013403138542,0.012957339565559,0.6814845018087912,0.016571115702391,1.8553e-11,0.085809178650379
3,402.503,0.011232474504913,0.007664430850383,0.682345715276775,0.009859021753073,1.3013e-11,0.050075370818377
4,404.715,0.008169233276867,0.005606787026943,0.6863296513786508,0.007234183140099,3.046e-12,0.039501018822193
5,406.927,0.009274866849213,0.006278733907943,0.6769621612924578,0.008123241364956,1.5608e-11,0.039604686200619
6,409.139,0.007820834579484,0.005436836762539,0.69517347634499,0.006735248956829,5.943e-12,0.034146018326283
7,411.351,0.00799051552352,0.005411575930159,0.677249911376817,0.006983775645494,6.738e-12,0.037024673074484
8,413.563,0.006376219616934,0.004489451768016,0.704093026547092,0.005522179882973,8.098e-12,0.029844645410776
9,415.775,0.006586209791229,0.004664736276569,0.7082580762582346,0.005672067403793,1.5897e-11,0.028241168707609
10,417.986,0.006169890384739,0.004423616119255,0.7169683484485646,0.005217229947448,9.325e-12,0.029527341946959
11,420.198,0.005040882121563,0.003620842833989,0.7182954781863267,0.004254263360053,2.066e-12,0.02469121478498
12,422.41,0.0053525415206,0.003896851358729,0.7280375768653873,0.004518253263086,6.66e-13,0.026150846853852
13,424.622,0.004749641624682,0.003396525394833,0.7151119312207909,0.004032007884234,4.728e-12,0.020080098882318
14,426.834,0.005251903011823,0.003742363092059,0.7125727728852289,0.004492232343182,4.691e-12,0.023567467927933
15,429.046,0.004688921756691,0.003326186210471,0.7093712335303094,0.00406253663823,5.13e-13,0.021757952868938
16,431.258,0.005295272804568,0.003685836388385,0.696061661866673,0.004645483102649,5.95e-13,0.024185486137867
17,433.469,0.004866607625409,0.003472148403579,0.7134638069957804,0.004231048282236,1.637e-12,0.022834606468678
18,435.681,0.005976735050252,0.004052813448782,0.6780982283313896,0.005258830264211,1.806e-12,0.026236170902848
19,437.893,0.005747235944913,0.00398486469899,0.6933532461838613,0.004932157229632,2.764e-11,0.027134448289871
20,440.105,0.005988843768918,0.003990606673913,0.6663400863158565,0.0052429898642,2.84e-13,0.023404132574797
21,442.317,0.00565367850824,0.003960289918946,0.7004802118079482,0.004967144690454,9.604e-12,0.024560606107116
22,444.529,0.00617856402879,0.004097423084775,0.6631675362887568,0.005409400910139,3.1606e-11,0.025113683193922
23,446.741,0.006159554938254,0.004159300141459,0.6752598496406956,0.005494771525264,5.6e-13,0.026311933994293
24,448.952,0.006288800107553,0.003986166100657,0.6338516143754543,0.005608869716525,2.453e-11,0.026069842278957
25,451.164,0.005792677003592,0.003853670015752,0.6652658198208471,0.005219814134762,8.882e-12,0.024161858484149
26,453.376,0.006541063229418,0.004161694027596,0.6362412166999175,0.005850936286151,2.3512e-11,0.025767963379622
27,455.588,0.006100369689996,0.003998675144342,0.6554807901067751,0.005448563955724,2.54e-12,0.024467185139656
28,457.8,0.006558871204463,0.004155819751529,0.6336181367155316,0.005939209833741,3.9413e-11,0.026465943083167
29,460.012,0.006258504611959,0.004068837961643,0.6501294181150082,0.005668350029737,9.172e-12,0.027762481942773
30,462.224,0.006553858045379,0.004108306682501,0.6268531686306036,0.005950392689556,3.05e-13,0.026591788977385
31,464.435,0.006352270064207,0.00408941127197,0.6437716329178946,0.005815532058477,6.7438e-11,0.027569100260735
32,466.647,0.006450107060993,0.003960626808086,0.6140404757058805,0.005878629628569,1.6962e-11,0.026350062340498
33,468.859,0.006218124702111,0.003943784028899,0.6342400993598792,0.005624362733215,1.26e-13,0.026428388431668
34,471.071,0.006842609495731,0.004148935459711,0.606338190466584,0.006302143912762,1.0838e-11,0.029002809897065
35,473.283,0.006397751733069,0.00405727307601,0.6341716973852823,0.005849224282429,1.2308e-11,0.027729582041502
36,475.495,0.006869377387664,0.004184383156724,0.6091357222909748,0.006335148354992,1.196e-12,0.029282664880157
37,477.707,0.006538664790574,0.004073053876004,0.622918287824699,0.005964363459498,3.4183e-11,0.026414884254336
38,479.918,0.006955005641562,0.004157204865656,0.5977284677978131,0.006386577617377,3.4456e-11,0.029084762558341
39,482.13,0.006715243302559,0.004159021149621,0.6193403518285195,0.006139187142253,0.000106665858766,0.029564106836915
40,484.342,0.006875428516195,0.004079323831709,0.5933192123371214,0.00634885719046,0.000195788205019,0.028046280145645
41,486.554,0.006791549934286,0.00418704067429,0.6165073826745244,0.006274574436247,2.001e-12,0.029313081875443
42,488.766,0.006963041501531,0.004128134450988,0.5928636860889491,0.006423478014767,1.2133e-11,0.028760118409991
43,490.978,0.006796383994956,0.004163529945729,0.612609580156007,0.006283643655479,9.527e-12,0.029839538037777
44,493.189,0.007263702484656,0.004197702455222,0.5779012100356968,0.006789334118366,0.000209372083191,0.03044824488461
45,495.401,0.007063217905839,0.00421500698593,0.5967544881272246,0.006558921188116,3.0842e-11,0.030326712876558
46,497.613,0.007340947828114,0.00420500759524,0.572815349420666,0.006836030166596,7.711e-12,0.029735488817096
47,499.825,0.007123382376914,0.004194519158139,0.5888381300058968,0.006658298429102,0.000178345042514,0.030435632914305
48,502.037,0.00735064251147,0.004195540399024,0.5707719280970671,0.006895794766024,0.000109836895717,0.030998637899756
49,504.249,0.007336047481309,0.004305951766709,0.5869580012506506,0.006819745060056,0.000109442444227,0.030921740457416
50,506.461,0.007570739348336,0.004187483856297,0.5531142552434304,0.007125492207706,0.000324643915519,0.029958788305521
51,508.672,0.007576123638048,0.004386142350809,0.5789428156612154,0.00703360280022,8.3595252363e-05,0.031014980748296
52,510.884,0.007808921843489,0.004308616170565,0.5517555761116345,0.007285927422345,0.0003877041745,0.0302110966295
